object_number,edition_id
21717,ED-5DC110D2D2
21720,ED-951ED44855
21721,ED-FA0EDC40D0
21732,ED-192A2C344C
21753,ED-60913602DB
21755,ED-016F790796
21756,ED-B9CD602695
21757,ED-3A4A5625F2
21758,ED-C03ADE4B7D
21759,ED-3D080EB13D
21760,ED-B0EF0BC86A
21761,ED-19216F1D8F
21769,ED-6D8F7095D5
21789,ED-74F7B00581
21790,ED-BCF1EB26D6
21791,ED-79025D97D1
21792,ED-4D9B474FAF
21793,ED-A2EF188ADD
21794,ED-46615BE7A5
21795,ED-B450CB4070
21798,ED-9D8E38DA2E
21802,ED-5B651F5F25
21803,ED-FC4D9D9580
21804,ED-468B398594
21805,ED-39194091D7
21806,ED-CEF41ADC1D
21807,ED-642CAC5060
21808,ED-6EDB35C4C7
21809,ED-3CD837F237
21810,ED-97E240D21C
21811,ED-2DCBD1B6F1
21812,ED-2D049D2688
21813,ED-99E66717EE
21814,ED-02ED333B88
21815,ED-33ADF421C7
21816,ED-531B40A7A7
21817,ED-3124653E3D
21818,ED-855AD5CD18
21820,ED-A2FC608BA9
21825,ED-5EFD7FD22A
21830,ED-F3EC6FAB66
21865,ED-63800E73CD
21867,ED-24A203372F
21868,ED-2B479A4F32
21869,ED-7ABF68A558
21874,ED-CFEF64D7B1
21875,ED-66B3A5A382
21876,ED-FD5353777E
21877,ED-EECC45A5FF
21878,ED-F8A346CDD8
21879,ED-8E2F4E4FBD
21881,ED-776354B7FD
21882,ED-8D05831F31
21884,ED-D228907965
21886,ED-1B7BCA17B5
21887,ED-F72D23B51E
21889,ED-AB796462A9
21890,ED-AE437B311D
21895,ED-6777BAECA7
21898,ED-D251550D6E
21902,ED-C141DDB073
21904,ED-82F9F91185
21905,ED-1276D1E3FA
21906,ED-523669D03C
21908,ED-2F7AD39FF6
21910,ED-D80CCB95BE
21913,ED-BF8F1B5753
21949,ED-990482B3CB
21950,ED-E255F27DBD
21951,ED-71342E4708
21952,ED-031A864561
21953,ED-3AB707C0FD
21954,ED-834E824209
21955,ED-569E1FB5AE
21956,ED-B0C34A072A
21957,ED-1950B2F610
21958,ED-EAE29C1A0B
21962,ED-A25BB1BF43
21967,ED-42F82F0C98
22092,ED-4F1F508CAA
22183,ED-E0EFD08436
22185,ED-A549EAF650
22189,ED-D6331E5E7A
22192,ED-32F388CE75
22196,ED-509EFA9528
22197,ED-A7D333C5F7
22198,ED-5DEBB7BBC7
22199,ED-624706E512
22223,ED-86C85885D8
22315,ED-817C758902
22318,ED-898B941758
22325,ED-F0E4ED454F
22329,ED-A1C716BD3A
22330,ED-6ABA106CF7
22337,ED-0ECA35D053
22338,ED-A81D052EC2
22343,ED-367F3AF889
