"edition_id","title_primary","platform"
"CAT-24013","Slayers;スレイヤーズ","Nintendo Super Famicom"
"CAT-24068","Battle Cross;バトルクロス","Nintendo Super Famicom"
"CAT-24250","GP-1","Nintendo Super Famicom"
"CAT-24310","Tetris Battle Gaiden;テトリスバトル 武闘外伝","Nintendo Super Famicom"
"CAT-24337","Super Pinball Behind The Mask;スーパー・ピンボール ビハインド・ザ・マスク","Nintendo Super Famicom"
"CAT-26506","Terranigma","Nintendo Super Nintendo Entertainment System"
"CAT-26526","Tiny Toon Adventures Buster Busts Loose!","Nintendo Super Nintendo Entertainment System"
"CAT-26545","Parodius","Nintendo Super Nintendo Entertainment System"
"CAT-26553","Rise of the Robots","Nintendo Super Nintendo Entertainment System"
"CAT-26554","The Adventures of Mighty Max","Nintendo Super Nintendo Entertainment System"
"CAT-26555","Ghoul Patrol","Nintendo Super Nintendo Entertainment System"
"CAT-26558","NHL 95","Nintendo Super Nintendo Entertainment System"
"CAT-26574","World Cup USA 94","Nintendo Super Nintendo Entertainment System"
"CAT-26587","Young Merlin","Nintendo Super Nintendo Entertainment System"
"CAT-26592","Urban Strike The Sequel to Jungle Strike","Nintendo Super Nintendo Entertainment System"
"CAT-26603","Disney's The Lion King","Nintendo Super Nintendo Entertainment System"
"CAT-26604","Mortal Kombat 3","Nintendo Super Nintendo Entertainment System"
"CAT-26608","Super Metroid","Nintendo Super Nintendo Entertainment System"
"CAT-26625","Super Punch-Out!!","Nintendo Super Nintendo Entertainment System"
"CAT-26626","Super Mario World 2 Yoshi's Island","Nintendo Super Nintendo Entertainment System"
"CAT-26670","Revolution X","Nintendo Super Nintendo Entertainment System"
"CAT-26679","Indiana Jones' Greatest Adventures","Nintendo Super Nintendo Entertainment System"
"CAT-26683","Lemmings 2 The Tribes","Nintendo Super Nintendo Entertainment System"
"CAT-26692","RoboCop 3","Nintendo Super Nintendo Entertainment System"
"CAT-26737","Fatal Fury","Nintendo Super Nintendo Entertainment System"
"CAT-26959","Cliffhanger","Nintendo Super Nintendo Entertainment System"
"CAT-26962","Secret of Mana","Nintendo Super Nintendo Entertainment System"
"CAT-26966","Vortex","Nintendo Super Nintendo Entertainment System"
"CAT-26967","Star Trek Starfleet Academy Starship Bridge Simulator","Nintendo Super Nintendo Entertainment System"
"CAT-26968","The Legend of Zelda A Link to the Past","Nintendo Super Nintendo Entertainment System"
"CAT-26980","True Lies","Nintendo Super Nintendo Entertainment System"
"CAT-26981","Killer Instinct","Nintendo Super Nintendo Entertainment System"
"CAT-26982","Cutthroat Island","Nintendo Super Nintendo Entertainment System"
"CAT-26983","Lagoon","Nintendo Super Nintendo Entertainment System"
"CAT-26986","King Arthur's World","Nintendo Super Nintendo Entertainment System"
"CAT-26991","Young Merlin","Nintendo Super Nintendo Entertainment System"
"CAT-26992","NHL 95","Nintendo Super Nintendo Entertainment System"
"CAT-27023","Stargate","Nintendo Super Nintendo Entertainment System"
"CAT-27026","Disney's The Jungle Book","Nintendo Super Nintendo Entertainment System"
"CAT-34388","Plok!;プロック","Nintendo Super Famicom"
"CAT-34396","Jimmy Connors Pro Tennis Tour;ジミーコナーズのプロテニスツアー","Nintendo Super Famicom"
"CAT-34406","Street Fighter II","Nintendo Super Nintendo Entertainment System"
"CAT-34419","Kid Klown in Crazy Chase;キッドクラウンのクレイジーチェイス","Nintendo Super Famicom"
"CAT-34429","Theme Park;テーマパーク","Nintendo Super Famicom"
"CAT-34617","Super Keirin;スーパー競輪","Nintendo Super Famicom"
"CAT-34625","Pac-In-Time;パックインタイム","Nintendo Super Famicom"
