object_number,platform_raw_first,platform_norm,title_primary,title_norm,title_norm_source,title_aliases,region_norm,language_norm
9247,Nintendo Super Famicom,SFC,Tiny Toon Adventures,Tiny Toon Adventures,primary_ascii,タイニートゥーン アドベンチャーズ|Tiny Toon Adventures Buster Busts Loose,NTSC-J,ja
9248,Nintendo Super Famicom,SFC,NBA Jam T.E. Tournament Edition,NBA Jam T.E. Tournament Edition,primary_ascii,NBA ジャム トーナメントエディション|NBA Jam Tournament Edition,NTSC-J,ja
9250,Nintendo Super Famicom,SFC,Super Bomberman 4,Super Bomberman 4,primary_ascii,スーパーボンバーマン4|Super Bomber Man 4,NTSC-J,ja
9253,Nintendo Super Famicom,SFC,Chou Makaimura,Chou Makaimura,primary_ascii,超魔界村|チョウマカイムラ|Super Demon World Village|Chohmakaimura|Super Ghouls 'n Ghosts,NTSC-J,ja
9256,Nintendo Super Famicom,SFC,King of the Monsters,King of the Monsters,primary_ascii,キング・オブ・ザ・モンスターズ,NTSC-J,ja
9257,Nintendo Super Famicom,SFC,Albert Odyssey,Albert Odyssey,primary_ascii,アルバートオデッセイ,NTSC-J,ja
9261,Nintendo Super Famicom,SFC,Nintama Rantarou 2,Nintama Rantarou 2,primary_ascii,忍たま乱太郎2,NTSC-J,ja
9263,Nintendo Super Famicom,SFC,Estpolis Denki II,Estpolis Denki II,primary_ascii,エストポリス伝記II|Estpolis Denki 2|Lufia II Rise of the Sinistrals,NTSC-J,ja
9267,Nintendo Super Famicom,SFC,Final Fantasy USA Mystic Quest,Final Fantasy USA Mystic Quest,primary_ascii,ミスティック クエスト ファイナル ファンタジー|Final Fantasy Mystic Quest|Mystic Quest Legend,NTSC-J,ja
9269,Nintendo Super Famicom,SFC,Dragon Quest VI Maboroshi no Daichi,Dragon Quest VI Maboroshi no Daichi,primary_ascii,ドラゴンクエストVI 幻の大地|Dragon Quest 4 Maboroshi no Daichi|Dragon Quest VI Realms of Revelation|Dragon Quest VI Land of Illusion,NTSC-J,ja
9277,Nintendo Super Famicom,SFC,Tecmo Super NBA Basketball,Tecmo Super NBA Basketball,primary_ascii,テクモスーパーNBAバスケットボール,NTSC-J,ja
9283,Nintendo Super Famicom,SFC,Doraemon Nobita to Yousei no Kuni,Doraemon Nobita to Yousei no Kuni,primary_ascii,ドラえもん のび太と妖精の国|Doraemon Nobita to Yosei no Kuni,NTSC-J,ja
9289,Nintendo Super Famicom,SFC,Cameltry,Cameltry,primary_ascii,キャメルトライ,NTSC-J,ja
9290,Nintendo Super Famicom,SFC,Syndicate,Syndicate,primary_ascii,シンジケート,NTSC-J,ja
9291,Nintendo Super Famicom,SFC,Super Volley II,Super Volley II,primary_ascii,スーパーバレーII|Super Volley 2|Super Volleyball 2|Hyper V-Ball,NTSC-J,ja
9305,Nintendo Super Famicom,SFC,Super Puyo Puyo,Super Puyo Puyo,primary_ascii,す〜ぱ〜ぷよぷよ,NTSC-J,ja
9306,Nintendo Super Famicom,SFC,Feda The Emblem Of Justice,Feda The Emblem Of Justice,primary_ascii,フェーダ エンブレム・オブ・ジャスティス|The Emblem Of Justice Feda,NTSC-J,ja
9307,Nintendo Super Famicom,SFC,Mother 2 Gyiyg no Gyakushuu,Mother 2 Gyiyg no Gyakushuu,primary_ascii,Mother 2 ギーグの逆襲|マザー2 ギーグの逆襲|Mother 2 Gīgu no Gyakushū|Mother 2 Giygas' Counterattack|EarthBound,NTSC-J,ja
9308,Nintendo Super Famicom,SFC,ActRaiser,ActRaiser,primary_ascii,アクトレイザー|Act Raiser,NTSC-J,ja
9309,Nintendo Super Famicom,SFC,King of the Monsters 2 The Next Thing,King of the Monsters 2 The Next Thing,primary_ascii,キング・オブ・ザ・モンスターズ2|The Next Thing King of the Monsters 2|King of the Monsters 2,NTSC-J,ja
9310,Nintendo Super Famicom,SFC,Bakukyu Rennpatsu!! Super B-Daman,Bakukyu Rennpatsu!! Super B-Daman,primary_ascii,爆球連発！！スーパービーダマン|Baku-Kyu Rennpatsu Super B-Daman|Bakukyuu Renpatsu! Super B-Daman,NTSC-J,ja
9311,Nintendo Super Famicom,SFC,Nekketsu Tairiku Burning Heroes,Nekketsu Tairiku Burning Heroes,primary_ascii,熱血大陸 バーニング ヒーローズ,NTSC-J,ja
9312,Nintendo Super Famicom,SFC,2020 Super Baseball,2020 Super Baseball,primary_ascii,2020年 スーパーベースボール|２０２０年スーパー・ベースボール|Super Baseball 2020,NTSC-J,ja
9313,Nintendo Super Famicom,SFC,Super Tetris 3,Super Tetris 3,primary_ascii,スーパーテトリス3,NTSC-J,ja
9314,Nintendo Super Famicom,SFC,Aqutallion,Aqutallion,primary_ascii,アクタリオン|Tecmo Secret of the Stars,NTSC-J,ja
9316,Nintendo Super Famicom,SFC,Ranma ½ Chounai Gekitou Hen,Ranma 1/2 Chounai Gekitou Hen,alt_ascii,Ranma ½ Chounai Gekitou Hen|らんま1/2 町内激闘篇|Ranma 1-2 Chounai Gekitou Hen|Ranma Nibunnoichi Chonai Gekitou Hen,NTSC-J,ja
9318,Nintendo Super Famicom,SFC,Super Tetris 2 + Bombliss Gentei Han,Super Tetris 2 + Bombliss Gentei Han,primary_ascii,スーパーテトリス2＋ボンブリス 限定版|Super Tetris 2 + Bombliss Gentai Han|Super Tetris 2 + Bombliss Gentei Ban|Super Tetris 2 + Bombliss Limited Edition,NTSC-J,ja
9321,Nintendo Super Famicom,SFC,Rudra no Hihou,Rudra no Hihou,primary_ascii,ルドラの秘宝|Rudora no Hihou|Treasure of the Rudras,NTSC-J,ja
9322,Nintendo Super Famicom,SFC,Bomberman B-Daman,Bomberman B-Daman,primary_ascii,ボンバーマン ビーダマン|Bomber Man B-Daman,NTSC-J,ja
