object_id,parent_object,source_object,title_primary,platform_norm,object_category,is_virtual_child
20283,,20283,Yuuyu no Quiz de Go! Go!,SFC,Game,False
20284,,20284,Ultima VI Itsuwari no Yogensha,SFC,Game,False
20285,,20285,Europe Sensen,SFC,Game,False
20287,,20287,Pro Football,SFC,Game,False
20288,,20288,Dungeon Master,SFC,Game,False
20289,,20289,Dream Maze Yume Meikyuu Kigurumi Daibouken,SFC,Game,False
20290,,20290,Super Hanafuda,SFC,Game,False
20359,,20359,Taikyoku Igo Goliath,SFC,Game,False
20363,,20363,Tecmo Super NBA Basketball,SFC,Game,False
20371,,20371,Accele Brid,SFC,Game,False
20375,,20375,Trinea,SFC,Game,False
20384,,20384,Takeda Nobuhiro no Super League Soccer,SFC,Game,False
20391,,20391,NBA Pro Basketball '94 Bulls vs Suns,SFC,Game,False
20397,,20397,FIFA International Soccer,SFC,Game,False
20403,,20403,The Pink Panther,SFC,Game,False
20405,,20405,Araiguma Rascal,SFC,Game,False
20521,,20521,2020 Nen Super Baseball,SFC,Game,False
20523,,20523,Lennus Kodai Kikai no Kioku,SFC,Game,False
20525,,20525,Dimension Force,SFC,Game,False
20528,,20528,Battle Dodgeball,SFC,Game,False
20532,,20532,J.League Super Soccer '95 Jikkyou Stadium,SFC,Game,False
20535,,20535,Leading Company,SFC,Game,False
20541,,20541,SimEarth The Living Planet,SFC,Game,False
20544,,20544,Makeruna! Makendou,SFC,Game,False
20547,,20547,Exhaust Heat II,SFC,Game,False
20548,,20548,Hourai Gakuen no Bouken! Tenkousei Scramble,SFC,Game,False
20563,,20563,Yokoyama Mitsuteru Sangokushi,SFC,Game,False
20564,,20564,Kikou Keisatsu Metal Jack,SFC,Game,False
20566,,20566,NHL Pro Hockey '94,SFC,Game,False
20567,,20567,Air Management II Koukuu Ou o Mezase,SFC,Game,False
20568,,20568,Heisei Shin Oni Ga Shima Kouhen,SFC,Game,False
20569,,20569,Final Fantasy IV Easy Type,SFC,Game,False
20570,,20570,Super Fire Pro Wrestling,SFC,Game,False
20571,,20571,Super Dunk Shot,SFC,Game,False
20572,,20572,Gdleen,SFC,Game,False
20578,,20578,F-1 Grand Prix Part II,SFC,Game,False
20580,,20580,Takemiya Masaki Kudan no Igo Taishou,SFC,Game,False
20583,,20583,Harapeko Bakka,SFC,Game,False
20585,,20585,Super Dunk Star,SFC,Game,False
20592,,20592,Zico Soccer,SFC,Game,False
20594,,20594,The Combatribes,SFC,Game,False
20596,,20596,Wondrous Magic,SFC,Game,False
20613,,20613,Super Koukou Yakyuu Ichikyuu Jikkon,SFC,Game,False
20616,,20616,Dark Kingdom,SFC,Game,False
20620,,20620,Taiketsu!! Brass Numbers,SFC,Game,False
20691,,20691,Hebereke no Popuun,SFC,Game,False
20702,,20702,Magic Johnson no Super Slam Dunk,SFC,Game,False
