edition_id,title_primary,platform,country,language,release_date,source_object
ED-4FCD61E498,Aqutallion,SFC,JP,ja,,9314
ED-4FCD61E498,Aqutallion,SFC,JP,ja,,20184
ED-82FDEF08F5,Arabian Nights Sabaku no Seirei Ou,SFC,IE,ja,,20229
ED-82FDEF08F5,Arabian Nights Sabaku no Seirei Ou,SFC,JP,ja,,20229
ED-A3AE975B64,Araiguma Rascal,SFC,JP,ja,,20405
ED-1FA24A3D18,Archer Maclean's Super Dropzone,SNES,EU,en,,19757
ED-1FA24A3D18,Archer Maclean's Super Dropzone,SNES,EU,en,,1824
ED-1FA24A3D18,Archer Maclean's Super Dropzone,SNES,EU,xx,,60647
ED-6756E51EEE,Archer Maclean's Super Dropzone,SNES,UNK,xx,,1824
ED-6756E51EEE,Archer Maclean's Super Dropzone,SNES,UNK,xx,,19757
ED-6756E51EEE,Archer Maclean's Super Dropzone,SNES,UNK,xx,,60647
ED-FE550E5837,Arcus Spirits,SFC,JP,ja,,35562
ED-637C6042A0,Ardy Lightfoot,SFC,JP,ja,,35524
ED-24824D5D8E,Ardy Lightfoot,SNES,EU,en,,20417
ED-012CBD8489,Ardy Lightfoot,SNES,UNK,xx,,20417
ED-54BA8ED2A9,Area 88,SFC,JP,ja,,36842
ED-4E7BE0BA25,Aretha,SFC,JP,ja,,9819
ED-4E7BE0BA25,Aretha,SFC,JP,ja,,23254
ED-E4A256AC2C,Aretha Gaiden Rejoice Aretha Oukoku no Kanata,SFC,GB,ja,,23135
ED-E4A256AC2C,Aretha Gaiden Rejoice Aretha Oukoku no Kanata,SFC,JP,ja,,23135
ED-69E1E215F2,Aretha II Ariel no Fushigi na Bouken,SFC,GB,ja,,23806
ED-69E1E215F2,Aretha II Ariel no Fushigi na Bouken,SFC,JP,ja,,23806
ED-785AEEB754,Aretha II Ariel no Fushigi na Tabi,SFC,GB,ja,,9831
ED-785AEEB754,Aretha II Ariel no Fushigi na Tabi,SFC,JP,ja,,9831
ED-79651A1423,Arkanoid,SNES,EU,en,,19755
ED-79651A1423,Arkanoid,SNES,EU,en,,1856
ED-79651A1423,Arkanoid,SNES,EU,xx,,60679
ED-345D4DAC47,Arkanoid,SNES,UNK,xx,,1856
ED-345D4DAC47,Arkanoid,SNES,UNK,xx,,19755
ED-345D4DAC47,Arkanoid,SNES,UNK,xx,,60679
ED-CD2FD70108,Arkanoid Doh It Again,SFC,JP,ja,,34708
ED-F43D543996,Art of Fighting,SNES,EU,en,,1816
ED-4459DEEFE3,Art of Fighting,SNES,UNK,xx,,1816
ED-7D80EC507D,Asahi Shinbun Rensai Katou Ichi-Ni-San Shougi Shingiryuu,SFC,JP,ja,,34666
ED-33EE88F60C,Asameshimae Nyanko,SFC,JP,ja,,20282
ED-327F563129,"Ascii Capcom Pad Soldier CP-S01CAN, Controller",SFC,JP,ja,,57002
ED-3E3A0090EB,"Ascii Grip ASC-0401J, Controller, アスキーグリップ",SFC,EU,xx,,57272
ED-F7B11FE090,"Ascii Grip ASC-0401J, Derby Stallion cover, Controller, アスキーグリップ",SFC,EU,xx,,57435
ED-205FF8200C,"Ascii Turbo File Twin, Game Save Memory",SFC,JP,ja,,55438
ED-BF48C72249,Asciiware Fighter Stick SN,SNES,UNK,xx,,41888
