"edition_id","title_primary","platform"
"CAT-09206","Hokuto no Ken 7 Seiken Retsuden Denshousha heno Michi;北斗の拳7 聖拳列伝 伝承者への道;Hokuto no Ken 7 Seiken Retsuden Den Shou Sha he no Michi;Fist of the North Star 7","Nintendo Super Famicom"
"CAT-09207","Fortune Quest Dice wo Korogase;フォーチュンクエスト ダイスをころがせ","Nintendo Super Famicom"
"CAT-09208","Namco Open;ナムコットオープン","Nintendo Super Famicom"
"CAT-09210","3x3 Eyes Sazanaizu Seima Kourinden;3x3 Eyes サザンアイズ 聖魔降臨伝;三只眼 聖魔降臨伝;3 x 3 Eyes Sazanaizu Seima Kourinden","Nintendo Super Famicom"
"CAT-09211","Star Fox;スターフォックス;Starwing","Nintendo Super Famicom"
"CAT-09212","Super Famista 2;スーパーファミスタ2","Nintendo Super Famicom"
"CAT-09218","Hiryu no Ken S Hyper Version;ハイパーバージョン 飛龍の拳S;Hiryu no Ken S Golden Fighter Hyper Version","Nintendo Super Famicom"
"CAT-09220","Jikkyou World Soccer Perfect Eleven;実況ワールドサッカー パーフェクトイレブン;International Superstar Soccer","Nintendo Super Famicom"
"CAT-09221","Hyper Zone;ハイパーゾーン","Nintendo Super Famicom"
"CAT-09222","Fighter's History;ファイターズヒストリー","Nintendo Super Famicom"
"CAT-09223","Front Mission Gun Hazard;フロントミッションシリーズ ガンハザード","Nintendo Super Famicom"
"CAT-09224","Ace o Nerae!;エースをねらえ！;Aim for the Ace!","Nintendo Super Famicom"
"CAT-09225","Emerald Dragon;エメラルドドラゴン;Emerald Dragon ED","Nintendo Super Famicom"
"CAT-09226","BattleTech;バトルテック;Mechwarrior","Nintendo Super Famicom"
"CAT-09227","Super Birdie Rush;スーパーバーディラッシュ","Nintendo Super Famicom"
"CAT-09228","Dragon Quest III Soshite Densetsu he...;ドラゴンクエストIII そして伝説へ…;Dragon Quest 3 Soshite Densetsu he...;Dragon Quest III The Seeds of Salvation;Dragon Warrior III","Nintendo Super Famicom"
"CAT-09229","Magic Knight Rayearth Mahou Kishi;マジックナイト レイアース 魔法騎士;Mahou Kishi Rayearth","Nintendo Super Famicom"
"CAT-09230","CB Chara Wars Ushinawareta Gag;CBキャラウォーズ 失われたギャ〜グ","Nintendo Super Famicom"
"CAT-09231","Ashita no Joe;あしたのジョー;Tomorrow's Joe","Nintendo Super Famicom"
"CAT-09232","Der Langrisser;デア ラングリッサー","Nintendo Super Famicom"
"CAT-09233","SD Kidou Senshi Gundam 2;SD機動戦士ガンダム2","Nintendo Super Famicom"
"CAT-09234","Rockman X2;ロックマンエックス2;Rock Man X2;Mega Man X2","Nintendo Super Famicom"
"CAT-09235","Rockman X;ロックマンエックス;Rock Man X;Mega Man X","Nintendo Super Famicom"
"CAT-09242","SD The Great Battle Aratanaru Chousen;SD ザ・グレイトバトル 新たなる挑戦","Nintendo Super Famicom"
"CAT-09243","Kaizou Shubibinman Zero;改造町人シュビビンマン零;Cyber Citizen Shockman Zero","Nintendo Super Famicom"
"CAT-09244","Dragon Slayer Eiyuu Densetsu;ドラゴンスレイヤー英雄伝説;Dragon Slayer The Legend of Heroes","Nintendo Super Famicom"
"CAT-09245","Bike Daisuki! Hashiriya Tamashii Rider's-Spirits;バイク大好き！走り屋 魂;Bike Daisuki! Hashiriya Tamashii Rider's Spirits;Bike Daisuki! Hashiriya Kon Rider's Spirits;Bike Daisuki Hashiri ya Tamashii;Bike Daisuki! Hashiriya Damashii","Nintendo Super Famicom"
"CAT-09246","Heracles no Eikou III Kamigami no Chinmoku;ヘラクレスの栄光III 神々の沈黙;Herakles no Eikou III Kamigami no Chinmoku;Heracles no Eikou 3 Kamigami no Chinmoku;The Glory of Heracles 3 Silence of the Gods","Nintendo Super Famicom"
"CAT-09247","Tiny Toon Adventures;タイニートゥーン アドベンチャーズ;Tiny Toon Adventures Buster Busts Loose","Nintendo Super Famicom"
"CAT-09248","NBA Jam T.E. Tournament Edition;NBA ジャム トーナメントエディション;NBA Jam Tournament Edition","Nintendo Super Famicom"
"CAT-09250","Super Bomberman 4;スーパーボンバーマン4;Super Bomber Man 4","Nintendo Super Famicom"
"CAT-09253","Chou Makaimura;超魔界村;チョウマカイムラ;Super Demon World Village;Chohmakaimura;Super Ghouls 'n Ghosts","Nintendo Super Famicom"
"CAT-09256","King of the Monsters;キング・オブ・ザ・モンスターズ","Nintendo Super Famicom"
"CAT-09257","Albert Odyssey;アルバートオデッセイ","Nintendo Super Famicom"
"CAT-09261","Nintama Rantarou 2;忍たま乱太郎2","Nintendo Super Famicom"
"CAT-09263","Estpolis Denki II;エストポリス伝記II;Estpolis Denki 2;Lufia II Rise of the Sinistrals","Nintendo Super Famicom"
"CAT-09267","Final Fantasy USA Mystic Quest;ミスティック クエスト ファイナル ファンタジー;Final Fantasy Mystic Quest;Mystic Quest Legend","Nintendo Super Famicom"
"CAT-09269","Dragon Quest VI Maboroshi no Daichi;ドラゴンクエストVI 幻の大地;Dragon Quest 4 Maboroshi no Daichi;Dragon Quest VI Realms of Revelation;Dragon Quest VI Land of Illusion","Nintendo Super Famicom"
"CAT-09277","Tecmo Super NBA Basketball;テクモスーパーNBAバスケットボール","Nintendo Super Famicom"
"CAT-09283","Doraemon Nobita to Yousei no Kuni;ドラえもん のび太と妖精の国;Doraemon Nobita to Yosei no Kuni","Nintendo Super Famicom"
"CAT-09289","Cameltry;キャメルトライ","Nintendo Super Famicom"
"CAT-09290","Syndicate;シンジケート","Nintendo Super Famicom"
"CAT-09291","Super Volley II;スーパーバレーII;Super Volley 2;Super Volleyball 2;Hyper V-Ball","Nintendo Super Famicom"
"CAT-09305","Super Puyo Puyo;す〜ぱ〜ぷよぷよ","Nintendo Super Famicom"
"CAT-09306","Feda The Emblem Of Justice;フェーダ エンブレム・オブ・ジャスティス;The Emblem Of Justice Feda","Nintendo Super Famicom"
"CAT-09307","Mother 2 Gyiyg no Gyakushuu;Mother 2 ギーグの逆襲;マザー2 ギーグの逆襲;Mother 2 Gīgu no Gyakushū;Mother 2 Giygas' Counterattack;EarthBound","Nintendo Super Famicom"
"CAT-09308","ActRaiser;アクトレイザー;Act Raiser","Nintendo Super Famicom"
"CAT-09309","King of the Monsters 2 The Next Thing;キング・オブ・ザ・モンスターズ2;The Next Thing King of the Monsters 2;King of the Monsters 2","Nintendo Super Famicom"
"CAT-09310","Bakukyu Rennpatsu!! Super B-Daman;爆球連発！！スーパービーダマン;Baku-Kyu Rennpatsu Super B-Daman;Bakukyuu Renpatsu! Super B-Daman","Nintendo Super Famicom"
"CAT-09311","Nekketsu Tairiku Burning Heroes;熱血大陸 バーニング ヒーローズ","Nintendo Super Famicom"
"CAT-09312","2020 Super Baseball;2020年 スーパーベースボール;２０２０年スーパー・ベースボール;Super Baseball 2020","Nintendo Super Famicom"
"CAT-09313","Super Tetris 3;スーパーテトリス3","Nintendo Super Famicom"
"CAT-09314","Aqutallion;アクタリオン;Tecmo Secret of the Stars","Nintendo Super Famicom"
"CAT-09316","Ranma ½ Chounai Gekitou Hen;らんま1/2 町内激闘篇;Ranma 1/2 Chounai Gekitou Hen;Ranma 1-2 Chounai Gekitou Hen;Ranma Nibunnoichi Chonai Gekitou Hen","Nintendo Super Famicom"
"CAT-09318","Super Tetris 2 + Bombliss Gentei Han;スーパーテトリス2＋ボンブリス 限定版;Super Tetris 2 + Bombliss Gentai Han;Super Tetris 2 + Bombliss Gentei Ban;Super Tetris 2 + Bombliss Limited Edition","Nintendo Super Famicom"
"CAT-09321","Rudra no Hihou;ルドラの秘宝;Rudora no Hihou;Treasure of the Rudras","Nintendo Super Famicom"
"CAT-09322","Bomberman B-Daman;ボンバーマン ビーダマン;Bomber Man B-Daman","Nintendo Super Famicom"
"CAT-09323","Spindizzy Worlds;スピンディジーワールド","Nintendo Super Famicom"
"CAT-09324","GP-1;GP1","Nintendo Super Famicom"
"CAT-09326","Bahamut Lagoon;バハムート ラグーン","Nintendo Super Famicom"
"CAT-09328","Slap Stick;スラップスティック;Robotrek;Slapstick","Nintendo Super Famicom"
"CAT-09329","Super Puyo Puyo 2;す〜ぱ〜ぷよぷよ通;Super Puyo Puyo Tsuu","Nintendo Super Famicom"
"CAT-09330","Slayers;スレイヤーズ","Nintendo Super Famicom"
"CAT-09331","Monster Maker III Hikari no Majutsushi;モンスターメーカー3 光の魔術士;Monster Maker 3 Hikari no Majyutsushi;Monster Maker III Hikari no Majyutsushi;Monster Maker III Hikaru no Majutsushi","Nintendo Super Famicom"
"CAT-09358","Super Shanghai Dragon's Eye;スーパー上海ドラゴンズアイ;Dragon's Eye Super Shanghai;Dragon's Eye Super Shanghai;Shanghai II Dragon's Eye;Shanghai 2 Dragon's Eye","Nintendo Super Famicom"
"CAT-09393","Super Street Fighter II The New Challengers;スーパーストリートファイターII ザ ニューチャレンジャーズ;Super Street Fighter 2 The New Challengers","Nintendo Super Famicom"
"CAT-09401","Tetris Battle Gaiden;テトリスバトル 武闘外伝","Nintendo Super Famicom"
"CAT-09414","Sandra no Daibouken Valkyrie Tono Deai;サンドラの大冒険 ワルキューレとの出逢い;Xandra no Daibouken Valkyrie to no Deai;Sandro no Daibouken Valkyrie Tono Deai;Whirlo","Nintendo Super Famicom"
"CAT-09421","Fire Emblem Seisen no Keifu;ファイアーエムブレム 聖戦の系譜;Fire Emblem 4 Seisen no Keifu;Fire Emblem Genealogy of the Holy War","Nintendo Super Famicom"
"CAT-09428","Street Fighter II Turbo Hyper Fighting;ストリートファイターII ターボ;Street Fighter 2 Turbo Hyper Fighting","Nintendo Super Famicom"
"CAT-09436","3x3 Eyes Sazanaizu Seima Kourinden;3x3 Eyes サザンアイズ 聖魔降臨伝;三只眼 聖魔降臨伝;3 x 3 Eyes Sazanaizu Seima Kourinden","Nintendo Super Famicom"
"CAT-09447","Mahoujin Guru Guru;魔法陣グルグル;Mahoujin Guruguru;Magical Circle Guru Guru","Nintendo Super Famicom"
"CAT-09454","Laplace no Ma;ラプラスの魔;Rapurasu no Ma;Diable De Laplace;Devil of Laplace","Nintendo Super Famicom"
"CAT-09482","Hana no Keiji Kumo no Kanata ni;花の慶次 —雲のかなたに—;Hana no Kenji Kumo no Kanata ni;Keiji Flower Beyond the Clouds","Nintendo Super Famicom"
"CAT-09498","Bishoujo Janshi Suchie-Pai;美少女雀士スーチーパイ;Bishoujo Janshi Suchie-Pie;Bishōjo Janshi Suchie-Pai;Idol Janshi Suchie-Pai","Nintendo Super Famicom"
"CAT-09523","Final Fantasy VI;ファイナルファンタジーVI;Final Fantasy 6;Final Fantasy III;Final Fantasy 3","Nintendo Super Famicom"
