edition_id,igdb_game_id,gb_game_id,score,note
CAT-20406,,,,no-match
CAT-20407,,,,no-match
CAT-20408,231006,6665,0.637,
CAT-20409,,,,no-match
CAT-20410,,,,no-match
CAT-20411,,,,no-match
CAT-20412,55092,19507,0.600,
CAT-20413,1534,4089,0.900,
CAT-20414,,,,no-match
CAT-20415,,,,no-match
CAT-20416,,,,no-match
CAT-20417,42736,16604,0.900,
CAT-20418,,,,no-match
CAT-20431,,,,no-match
CAT-20434,,,,no-match
CAT-20436,249148,4197,0.600,
CAT-20438,,,,no-match
CAT-20521,,,,no-match
CAT-20523,,,,no-match
CAT-20525,,,,no-match
CAT-20528,,,,no-match
CAT-20532,,,,no-match
CAT-20535,,,,no-match
CAT-20541,,,,no-match
CAT-20544,,,,no-match
CAT-20547,,,,no-match
CAT-20548,,,,no-match
CAT-20563,,,,no-match
CAT-20564,,,,no-match
CAT-20566,,,,no-match
CAT-20567,,,,no-match
CAT-20568,,,,no-match
CAT-20569,,,,no-match
CAT-20570,,,,no-match
CAT-20571,,,,no-match
CAT-20572,,,,no-match
CAT-20578,,,,no-match
CAT-20580,,,,no-match
CAT-20583,,,,no-match
CAT-20585,42270,38745,0.800,
CAT-20592,42348,37604,0.800,
CAT-20594,,,,no-match
CAT-20596,,,,no-match
CAT-20613,,,,no-match
CAT-20616,,,,no-match
CAT-20620,,,,no-match
CAT-20691,,,,no-match
CAT-20702,,,,no-match
CAT-20703,,,,no-match
CAT-20706,,,,no-match
CAT-20708,,,,no-match
CAT-20726,,,,no-match
CAT-20863,,,,no-match
CAT-20869,,,,no-match
CAT-20874,,,,no-match
CAT-20878,,,,no-match
CAT-20880,,,,no-match
CAT-20881,,,,no-match
CAT-20882,,,,no-match
CAT-20883,,,,no-match
CAT-20884,,,,no-match
CAT-20885,,,,no-match
CAT-20886,,,,no-match
CAT-20887,,,,no-match
CAT-20888,,,,no-match
CAT-20889,,,,no-match
CAT-20890,,,,no-match
CAT-20891,,,,no-match
CAT-20892,,,,no-match
CAT-20893,,,,no-match
CAT-21054,,,,no-match
CAT-21055,,,,no-match
CAT-21056,,,,no-match
CAT-21057,,,,no-match
CAT-21058,,,,no-match
CAT-21067,,,,no-match
CAT-21068,,,,no-match
CAT-21069,,,,no-match
CAT-21088,,,,no-match
CAT-21093,,,,no-match
CAT-21095,,,,no-match
CAT-21102,,,,no-match
CAT-21105,,,,no-match
CAT-21108,,,,no-match
CAT-21110,,,,no-match
CAT-21112,,,,no-match
CAT-21116,,,,no-match
CAT-21117,,,,no-match
CAT-21123,,,,no-match
CAT-21125,,,,no-match
CAT-21137,,,,no-match
CAT-21138,,,,no-match
CAT-21139,,,,no-match
CAT-21140,,,,no-match
CAT-21141,,,,no-match
CAT-21142,,,,no-match
CAT-21143,,,,no-match
CAT-21144,,,,no-match
CAT-21145,,,,no-match
CAT-21146,,,,no-match
CAT-21147,,,,no-match
CAT-21148,,,,no-match
CAT-21149,,,,no-match
CAT-21150,,,,no-match
CAT-21151,,,,no-match
CAT-21152,,,,no-match
CAT-21153,,,,no-match
CAT-21154,,,,no-match
CAT-21156,,,,no-match
CAT-21161,,,,no-match
CAT-21162,,,,no-match
CAT-21164,,,,no-match
CAT-21166,,,,no-match
CAT-21167,,,,no-match
CAT-21168,,,,no-match
CAT-21171,,,,no-match
CAT-21173,,,,no-match
CAT-21186,,,,no-match
CAT-21192,,,,no-match
CAT-21196,,,,no-match
CAT-21200,,,,no-match
CAT-21208,,,,no-match
CAT-21225,,,,no-match
CAT-21228,,,,no-match
CAT-21229,,,,no-match
CAT-21230,,,,no-match
CAT-21232,,,,no-match
CAT-21235,,,,no-match
CAT-21239,,,,no-match
CAT-21242,,,,no-match
CAT-21251,,,,no-match
CAT-21253,,,,no-match
CAT-21290,,,,no-match
CAT-21294,,,,no-match
CAT-21295,,,,no-match
CAT-21301,,,,no-match
CAT-21302,,,,no-match
CAT-21304,,,,no-match
CAT-21311,,,,no-match
CAT-21319,,,,no-match
CAT-21327,,,,no-match
CAT-21345,,,,no-match
CAT-21351,,,,no-match
CAT-21359,,,,no-match
CAT-21360,,,,no-match
CAT-21372,,,,no-match
CAT-21375,,,,no-match
CAT-21418,,,,no-match
CAT-21421,,,,no-match
CAT-21429,,,,no-match
CAT-21430,,,,no-match
CAT-21433,,,,no-match
CAT-21435,,,,no-match
CAT-21440,,,,no-match
CAT-21443,,,,no-match
CAT-21445,,,,no-match
CAT-21465,,,,no-match
CAT-21468,,,,no-match
CAT-21471,,,,no-match
CAT-21473,,,,no-match
CAT-21474,,,,no-match
CAT-21476,,,,no-match
CAT-21477,,,,no-match
CAT-21496,,,,no-match
CAT-21522,,,,no-match
CAT-21523,,,,no-match
CAT-21526,,,,no-match
CAT-21527,,,,no-match
CAT-21529,,,,no-match
CAT-21531,,,,no-match
CAT-21552,,,,no-match
CAT-21555,,,,no-match
CAT-21561,,,,no-match
CAT-21573,,,,no-match
CAT-21577,,,,no-match
CAT-21578,,,,no-match
CAT-21579,,,,no-match
CAT-21580,,,,no-match
CAT-21581,,,,no-match
CAT-21582,,,,no-match
CAT-21583,,,,no-match
CAT-21584,,,,no-match
CAT-21585,,,,no-match
CAT-21586,,,,no-match
CAT-21587,,,,no-match
CAT-21588,,,,no-match
CAT-21644,,,,no-match
CAT-21645,,,,no-match
CAT-21646,,,,no-match
CAT-21647,,,,no-match
CAT-21648,,,,no-match
CAT-21649,,,,no-match
CAT-21650,,,,no-match
CAT-21651,,,,no-match
CAT-21652,,,,no-match
CAT-21655,,,,no-match
CAT-21662,,,,no-match
CAT-21664,,,,no-match
CAT-21666,,,,no-match
CAT-21667,4259,9847,0.720,
CAT-21668,147969,44689,0.675,
CAT-21669,,,,no-match
CAT-21670,,,,no-match
CAT-21671,,,,no-match
CAT-21672,,,,no-match
CAT-21673,,,,no-match
CAT-21674,,,,no-match
CAT-21675,,,,no-match
CAT-21677,,,,no-match
CAT-21678,,,,no-match
CAT-21680,,,,no-match
CAT-21681,,,,no-match
CAT-21682,,,,no-match
CAT-21683,,,,no-match
CAT-21684,,,,no-match
CAT-21685,42242,46746,0.800,
CAT-21689,,,,no-match
CAT-21691,,,,no-match
CAT-21693,,,,no-match
CAT-21700,,,,no-match
CAT-21702,,,,no-match
CAT-21704,215181,14860,0.800,
CAT-21710,,,,no-match
CAT-21713,,,,no-match
CAT-21716,,,,no-match
CAT-21717,42612,16760,0.720,
CAT-21720,,,,no-match
CAT-21721,,,,no-match
CAT-21732,,,,no-match
CAT-21753,,,,no-match
CAT-21754,,,,no-match
CAT-21755,,,,no-match
CAT-21756,,,,no-match
CAT-21757,,,,no-match
CAT-21758,,,,no-match
CAT-21759,,,,no-match
CAT-21760,,,,no-match
CAT-21761,,,,no-match
CAT-21769,,,,no-match
CAT-21789,,,,no-match
CAT-21790,,,,no-match
CAT-21791,38185,55213,0.800,
CAT-21792,,,,no-match
CAT-21793,,,,no-match
CAT-21794,,,,no-match
CAT-21795,,,,no-match
CAT-21798,,,,no-match
CAT-21802,,,,no-match
CAT-21803,42423,28208,0.800,
