object_number,platform_raw_first,platform_norm,title_primary,title_norm,title_norm_source,title_aliases,region_norm,language_norm,media_norm,edition_key,edition_id
9212,Nintendo Super Famicom,SFC,Super Famista 2,Super Famista 2,primary_ascii,スーパーファミスタ2,NTSC-J,ja,cartridge,SFC | Super Famista 2 | NTSC-J | ja | cartridge,bb820045334e092e
9218,Nintendo Super Famicom,SFC,Hiryu no Ken S Hyper Version,Hiryu no Ken S Hyper Version,primary_ascii,ハイパーバージョン 飛龍の拳S|Hiryu no Ken S Golden Fighter Hyper Version,NTSC-J,ja,cartridge,SFC | Hiryu no Ken S Hyper Version | NTSC-J | ja | cartridge,55e84c66dd1cda52
9220,Nintendo Super Famicom,SFC,Jikkyou World Soccer Perfect Eleven,Jikkyou World Soccer Perfect Eleven,primary_ascii,実況ワールドサッカー パーフェクトイレブン|International Superstar Soccer,NTSC-J,ja,cartridge,SFC | Jikkyou World Soccer Perfect Eleven | NTSC-J | ja | cartridge,5d8bda29f7e04230
9221,Nintendo Super Famicom,SFC,Hyper Zone,Hyper Zone,primary_ascii,ハイパーゾーン,NTSC-J,ja,cartridge,SFC | Hyper Zone | NTSC-J | ja | cartridge,0f361909a392cce6
9222,Nintendo Super Famicom,SFC,Fighter's History,Fighter's History,primary_ascii,ファイターズヒストリー,NTSC-J,ja,cartridge,SFC | Fighter's History | NTSC-J | ja | cartridge,2e284d5e8d9c7bd8
9223,Nintendo Super Famicom,SFC,Front Mission Gun Hazard,Front Mission Gun Hazard,primary_ascii,フロントミッションシリーズ ガンハザード,NTSC-J,ja,cartridge,SFC | Front Mission Gun Hazard | NTSC-J | ja | cartridge,00b0c8cc691e3efd
9224,Nintendo Super Famicom,SFC,Ace o Nerae!,Ace o Nerae!,primary_ascii,エースをねらえ！|Aim for the Ace!,NTSC-J,ja,cartridge,SFC | Ace o Nerae! | NTSC-J | ja | cartridge,0b6c88cec5553967
9225,Nintendo Super Famicom,SFC,Emerald Dragon,Emerald Dragon,primary_ascii,エメラルドドラゴン|Emerald Dragon ED,NTSC-J,ja,cartridge,SFC | Emerald Dragon | NTSC-J | ja | cartridge,eb6a62fbfa4e4ece
9226,Nintendo Super Famicom,SFC,BattleTech,BattleTech,primary_ascii,バトルテック|Mechwarrior,NTSC-J,ja,cartridge,SFC | BattleTech | NTSC-J | ja | cartridge,3148797d6a72709b
9227,Nintendo Super Famicom,SFC,Super Birdie Rush,Super Birdie Rush,primary_ascii,スーパーバーディラッシュ,NTSC-J,ja,cartridge,SFC | Super Birdie Rush | NTSC-J | ja | cartridge,d733f6d182cc8c5c
9228,Nintendo Super Famicom,SFC,Dragon Quest III Soshite Densetsu he...,Dragon Quest III Soshite Densetsu he...,primary_ascii,ドラゴンクエストIII そして伝説へ…|Dragon Quest 3 Soshite Densetsu he...|Dragon Quest III The Seeds of Salvation|Dragon Warrior III,NTSC-J,ja,cartridge,SFC | Dragon Quest III Soshite Densetsu he... | NTSC-J | ja | cartridge,2f972884f491942f
9229,Nintendo Super Famicom,SFC,Magic Knight Rayearth Mahou Kishi,Magic Knight Rayearth Mahou Kishi,primary_ascii,マジックナイト レイアース 魔法騎士|Mahou Kishi Rayearth,NTSC-J,ja,cartridge,SFC | Magic Knight Rayearth Mahou Kishi | NTSC-J | ja | cartridge,90ad549400619fb5
9230,Nintendo Super Famicom,SFC,CB Chara Wars Ushinawareta Gag,CB Chara Wars Ushinawareta Gag,primary_ascii,CBキャラウォーズ 失われたギャ〜グ,NTSC-J,ja,cartridge,SFC | CB Chara Wars Ushinawareta Gag | NTSC-J | ja | cartridge,6143ebbb388510d4
9231,Nintendo Super Famicom,SFC,Ashita no Joe,Ashita no Joe,primary_ascii,あしたのジョー|Tomorrow's Joe,NTSC-J,ja,cartridge,SFC | Ashita no Joe | NTSC-J | ja | cartridge,f99eccd8368e99c4
9232,Nintendo Super Famicom,SFC,Der Langrisser,Der Langrisser,primary_ascii,デア ラングリッサー,NTSC-J,ja,cartridge,SFC | Der Langrisser | NTSC-J | ja | cartridge,276a6e3fcb5ad40e
9233,Nintendo Super Famicom,SFC,SD Kidou Senshi Gundam 2,SD Kidou Senshi Gundam 2,primary_ascii,SD機動戦士ガンダム2,NTSC-J,ja,cartridge,SFC | SD Kidou Senshi Gundam 2 | NTSC-J | ja | cartridge,c6728797799e3ec3
9234,Nintendo Super Famicom,SFC,Rockman X2,Rockman X2,primary_ascii,ロックマンエックス2|Rock Man X2|Mega Man X2,NTSC-J,ja,cartridge,SFC | Rockman X2 | NTSC-J | ja | cartridge,5f1e26d18d6f31c1
9235,Nintendo Super Famicom,SFC,Rockman X,Rockman X,primary_ascii,ロックマンエックス|Rock Man X|Mega Man X,NTSC-J,ja,cartridge,SFC | Rockman X | NTSC-J | ja | cartridge,bcc876dd68ba5243
9242,Nintendo Super Famicom,SFC,SD The Great Battle Aratanaru Chousen,SD The Great Battle Aratanaru Chousen,primary_ascii,SD ザ・グレイトバトル 新たなる挑戦,NTSC-J,ja,cartridge,SFC | SD The Great Battle Aratanaru Chousen | NTSC-J | ja | cartridge,197b2c274b809a88
