object_number,platform_raw_first,platform_norm,title_primary,alt_titles,title_norm,title_norm_source,title_aliases
35439,Nintendo Super Famicom,SFC,Captain Tsubasa III Koutei no Chousen,キャプテン翼III -皇帝の挑戦-,Captain Tsubasa III Koutei no Chousen,primary_ascii,キャプテン翼III -皇帝の挑戦-
35440,Nintendo Super Famicom,SFC,Super Linearball,スーパーリニアボール|Space Football One on One,Super Linearball,primary_ascii,スーパーリニアボール|Space Football One on One
35441,Nintendo Super Famicom,SFC,Otogirisou,弟切草,Otogirisou,primary_ascii,弟切草
35442,Nintendo Super Famicom,SFC,Stargate,スターゲイト,Stargate,primary_ascii,スターゲイト
35443,Nintendo Super Famicom,SFC,Dark Law Meaning Of Death,ダークロウ ミーニング・オブ・デス,Dark Law Meaning Of Death,primary_ascii,ダークロウ ミーニング・オブ・デス
35444,Nintendo Super Famicom,SFC,"Hanjuku Hero Hanjuku Eiyuu Aa, Sekai yo Hanjuku Nare...!!",はんじゅくヒーロー 半熟英雄 ああ、世界よ半熟なれ…！！,"Hanjuku Hero Hanjuku Eiyuu Aa, Sekai yo Hanjuku Nare...!!",primary_ascii,はんじゅくヒーロー 半熟英雄 ああ、世界よ半熟なれ…！！
35447,Nintendo Super Famicom,SFC,Super Mahjong,Super 麻雀|スーパーま〜じゃん,Super Mahjong,primary_ascii,Super 麻雀|スーパーま〜じゃん
35449,Nintendo Super Famicom,SFC,Super Gachapon World SD Gundam X,スーパーガチャポンワールド SDガンダムX,Super Gachapon World SD Gundam X,primary_ascii,スーパーガチャポンワールド SDガンダムX
35450,Nintendo Super Famicom,SFC,Royal Conquest,ロイヤルコンクエスト|King Arthur's World,Royal Conquest,primary_ascii,ロイヤルコンクエスト|King Arthur's World
35451,Nintendo Super Famicom,SFC,Pilotwings,パイロットウイングス,Pilotwings,primary_ascii,パイロットウイングス
35452,Nintendo Super Famicom,SFC,Outer World,アウター・ワールド|Another World|Out of This World,Outer World,primary_ascii,アウター・ワールド|Another World|Out of This World
35453,Nintendo Super Famicom,SFC,Honke Sankyo Fever Jikki Simulation 2,本家Sankyo Fever 2 実機シミュレーション,Honke Sankyo Fever Jikki Simulation 2,primary_ascii,本家Sankyo Fever 2 実機シミュレーション
35456,Nintendo Super Famicom,SFC,Gambler Jiko Chuushinha 2 Dorapon Quest,ぎゅわんぶらあ自己中心派2 ドラポンクエスト,Gambler Jiko Chuushinha 2 Dorapon Quest,primary_ascii,ぎゅわんぶらあ自己中心派2 ドラポンクエスト
35458,Nintendo Super Famicom,SFC,Sonic Wings,ソニックウイングス,Sonic Wings,primary_ascii,ソニックウイングス
35462,Nintendo Super Famicom,SFC,Gouketsuji Ichizoku,豪血寺一族|Power Instinct,Gouketsuji Ichizoku,primary_ascii,豪血寺一族|Power Instinct
35463,Nintendo Super Famicom,SFC,Rushing Beat Shura,ラッシング・ビート 修羅|The Peace Keepers,Rushing Beat Shura,primary_ascii,ラッシング・ビート 修羅|The Peace Keepers
