object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,broadcast_standard,title.language,place_of_publication,title_primary,alt_titles,accessory_type
9152,Jungle Wars 2 Kodai Mahou Atimos no Nazo;ジャングルウォーズ2 古代魔法アティモスの謎,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Jungle Wars 2 Kodai Mahou Atimos no Nazo,ジャングルウォーズ2 古代魔法アティモスの謎,
9164,Hat Trick Hero;ハットトリックヒーロー,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Hat Trick Hero,ハットトリックヒーロー,
9171,Samurai Spirits;侍魂 サムライスピリッツ;Samurai Shodown,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Samurai Spirits,侍魂 サムライスピリッツ|Samurai Shodown,
9174,Romancing Sa-Ga;ロマンシング サ·ガ;Romancing Sa·Ga;Romancing Sa Ga;Romancing SaGa,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,Romancing Sa-Ga,ロマンシング サ·ガ|Romancing Sa·Ga|Romancing Sa Ga|Romancing SaGa,
9181,Super Robot Taisen EX;スーパーロボット大戦EX;Super Robot Wars EX,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Super Robot Taisen EX,スーパーロボット大戦EX|Super Robot Wars EX,
9182,Wagyan Paradise;ワギャンパラダイス,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Wagyan Paradise,ワギャンパラダイス,
9183,Super Dunk Star;スーパーダンクスター,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Super Dunk Star,スーパーダンクスター,
9186,Downtown Nekketsu Baseball Monogatari Baseball de Shoubu da! Kunio-kun;ダウンタウン熱血べーすぼーる物語 野球で勝負だ！くにおくん;Downtown Nekketsu Baseball Monogatari Yakyū de Shōbu da! Kunio-kun,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Downtown Nekketsu Baseball Monogatari Baseball de Shoubu da! Kunio-kun,ダウンタウン熱血べーすぼーる物語 野球で勝負だ！くにおくん|Downtown Nekketsu Baseball Monogatari Yakyū de Shōbu da! Kunio-kun,
9191,Tenchi Muyou! Game Hen;天地無用！ げーむ編;Tenchi Muyo! Game Edition,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Tenchi Muyou! Game Hen,天地無用！ げーむ編|Tenchi Muyo! Game Edition,
9192,Densetsu no Ogre Battle;伝説のオウガバトル;でんせつのオウガバトル;Densetsu no Ogre Battle Saga Episode Five The March of the Black Queen;Ogre Battle The March of the Black Queen,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,Densetsu no Ogre Battle,伝説のオウガバトル|でんせつのオウガバトル|Densetsu no Ogre Battle Saga Episode Five The March of the Black Queen|Ogre Battle The March of the Black Queen,
9193,Estpolis Denki II;エストポリス伝記II;Estpolis Denki 2;Lufia II Rise of the Sinistrals;Lufia 2 Rise of the Sinistrals,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,Estpolis Denki II,エストポリス伝記II|Estpolis Denki 2|Lufia II Rise of the Sinistrals|Lufia 2 Rise of the Sinistrals,
9194,Front Mission;フロントミッション,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Front Mission,フロントミッション,
9195,Dragon Quest I.II;ドラゴンクエストI・II;Dragon Quest 1 & 2;Dragon Quest I·II;Dragon Quest I . II,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;;,Japan,Dragon Quest I.II,ドラゴンクエストI・II|Dragon Quest 1 & 2|Dragon Quest I·II|Dragon Quest I . II,
9196,Mini Shiku Shining Scorpion Ready & Go!!;ミニ四駆 シャイニング スコーピオン レッツ＆ゴー！！;Mini Shiku Shining Scorpion Ready Let's and Go!!,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,Mini Shiku Shining Scorpion Ready & Go!!,ミニ四駆 シャイニング スコーピオン レッツ＆ゴー！！|Mini Shiku Shining Scorpion Ready Let's and Go!!,
9197,RPG Tsukuru Super Dante;RPGツクール スーパーダンテ,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,RPG Tsukuru Super Dante,RPGツクール スーパーダンテ,
9198,David Crane's Amazing Tennis;David Crane's アメージングテニス,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,David Crane's Amazing Tennis,David Crane's アメージングテニス,
9199,2020 Super Baseball;2020年 スーパーベースボール;2020 SuperBaseball,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;,Japan,2020 Super Baseball,2020年 スーパーベースボール|2020 SuperBaseball,
9201,Garou Densetsu 2 Aratanaru Tatakai;餓狼伝説2 —新たなる闘い—;餓狼伝説２ ～新たなる闘い～;Fatal Fury 2,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;;;,Japan,Garou Densetsu 2 Aratanaru Tatakai,餓狼伝説2 —新たなる闘い—|餓狼伝説２ ～新たなる闘い～|Fatal Fury 2,
9202,Tetris Battle Gaiden;テトリスバトル 武闘外伝,Game Title Alternative;Game Title,Nintendo Super Famicom,Nintendo Super Famicom,SFC,Cartridge,Game,NTSC-J,Japanese;,Japan,Tetris Battle Gaiden,テトリスバトル 武闘外伝,
