release_id,edition_id,title_primary,platform,country,language,release_date
RL-55BB7CE5F2,ED-73EFD38AC5,NBA Jam T.E.,SNES,UNK,xx,
RL-2FBDA07A8C,ED-D3433A07D3,NBA Live 96,SNES,UNK,xx,
RL-E955057938,ED-47F2ABBC92,NBA Live 97,SNES,UNK,xx,
RL-1C83D629FE,ED-D9B9F4C976,NHL 95,SNES,UNK,xx,
RL-DD0739E479,ED-B6FBC83BAC,NHL 96,SNES,UNK,xx,
RL-6B63B97DB9,ED-FACB14BE3E,NHL 97,SNES,UNK,xx,
RL-1C9F235885,ED-3CCE172B9A,NHL Hockey '94,SNES,UNK,xx,
RL-0812AD945E,ED-5B8FC38252,NHLPA Hockey '93,SNES,UNK,xx,
RL-987201A81A,ED-358696FC2B,Newman Haas IndyCar featuring Nigel Mansell,SNES,UNK,xx,
RL-D5EAC7E8F2,ED-8F074623BB,Newman/Haas IndyCar featuring Nigel Mansell,SNES,UNK,xx,
RL-390CFE08D1,ED-25C8DAA854,NewmanHaas IndyCar featuring Nigel Mansell,SNES,UNK,xx,
RL-DEE53CF55A,ED-A15F94F978,Nigel Mansell's World Championship,SNES,UNK,xx,
RL-1BC21C6031,ED-CD88D98AE4,Nigel Mansell's World Championship Racing,SNES,UNK,xx,
RL-AD2DC5CDB1,ED-42D6B8CD74,Ninja Combat,NEO-AES,UNK,xx,
RL-F9206917E9,ED-A7D21E6C6B,Ninja JaJaMaru Super Ninja Kid Limited Edition,SNES,UNK,xx,
RL-0C9DCB5F7D,ED-065C15377B,Nintendo Campus Challenge 1992,SNES,UNK,en,
RL-952FF52658,ED-1AFD6C980E,"Nintendo Scope, Super Scope, Sensor Gun Controller",SNES,UNK,xx,
RL-92D7E2B003,ED-EFDBF4F13C,"Nintendo Super Famicom Box, Hotel Coin-op Unit",SFC,UNK,xx,
RL-B030150131,ED-683B5FEE99,Old Towers,SNES,UNK,xx,
RL-57E25BB9AF,ED-E17403ED97,Olympic Summer Games Atlanta 1996,SNES,UNK,xx,
RL-231A17C6DF,ED-88C521C43D,On the Ball,SNES,UNK,xx,
RL-6A422EFAE8,ED-ABD5208131,P47,AMIGA,UNK,xx,
RL-8695AE6BE4,ED-A7F2112698,PGA Tour 96,SNES,UNK,xx,
RL-DD19016BD5,ED-B419836676,PGA Tour Golf,SNES,UNK,xx,
RL-441520878E,ED-FA1273807D,Pac-Attack,SNES,UNK,xx,
RL-B12A3C3B53,ED-76EB6C6C45,Pac-Man 2 The New Adventures,SNES,UNK,xx,
RL-80C5360662,ED-FF1B032714,Paperboy 2,SNES,UNK,xx,
RL-F198E3CE85,ED-A3DD7FCEB1,Parodius,SNES,UNK,xx,
RL-A12402EAB6,ED-1C60305647,Paws of Fury,SNES,UNK,xx,
RL-EAD253FDAC,ED-5E3F477AF6,Phantom 2040,SNES,UNK,xx,
RL-4AB8CD38F2,ED-58264166F1,Pilotwings,SNES,UNK,xx,
RL-462B206EEA,ED-95C207E237,Pinball Dreams,SNES,UNK,xx,
RL-C6C03D34C7,ED-1C2CCD326B,Pinball Dreams!,SNES,UNK,xx,
RL-D522D47EB3,ED-A84BA7B985,Pinball Fantasies,SNES,UNK,xx,
RL-634E647952,ED-FEDFDB98CD,Pink Goes to Hollywood,SNES,UNK,xx,
RL-F4C95C37C6,ED-2C8DEA65E4,Pinocchio,SNES,UNK,xx,
RL-CF2595EB53,ED-D4DCD65123,Pitfall The Mayan Adventure,SNES,UNK,xx,
RL-31B354DF55,ED-9F432454F7,Plok,SNES,UNK,xx,
RL-3399539350,ED-D133F51CC7,Pocky & Rocky,SNES,UNK,xx,
RL-5F652092DF,ED-226AB4B79D,Populous,AMIGA,UNK,xx,
RL-60707277F4,ED-39F237A461,Populous,SNES,UNK,xx,
RL-2F60DF7865,ED-2D15D39619,Power Drive,SNES,UNK,xx,
RL-EE2E793DAF,ED-4655D0CD42,Power Piggs of the Dark Age,SNES,UNK,xx,
RL-1410542C8E,ED-C51E1C2542,Power Rangers,SNES,UNK,xx,
RL-B6A68D1F8E,ED-5BB26C539E,Prehistorik Man,SNES,UNK,xx,
RL-C37CCC0B26,ED-B9C2764108,Primal Rage,SNES,UNK,xx,
RL-32BC7C764D,ED-6B88C93069,Prince of Persia,SNES,UNK,xx,
RL-E604B749FE,ED-D538A2E511,Prince of Persia 2,SNES,UNK,xx,
RL-9732EF3098,ED-5B7502EB07,Pro Action Replay for Super NES,SNES,UNK,xx,
RL-9A0A522E49,ED-583D8239EA,Purple Saturn Day,AMIGA,UNK,xx,
RL-83CCB8ED0F,ED-02318908B9,Pushover,SNES,UNK,xx,
RL-EE354A08CB,ED-9A3D6CB322,Puzzle Bobble Bust-A-Move,SNES,UNK,xx,
RL-94058439F5,ED-AA0A801A24,R-Type,AMIGA,UNK,xx,
RL-ED62C2B9B6,ED-F34D3398AC,R-Type III,SNES,UNK,xx,
RL-BEB1951826,ED-7FD2B463D0,R-Type The Third Lightning III & R-Type Super Collectors Edition,SNES,UNK,xx,
RL-0DC0AB4614,ED-F6E8B339A0,R.O.B.,FAMICOM,UNK,xx,
RL-6E07661194,ED-4A35E99741,R/C AeroChopper,AMIGA,UNK,xx,
RL-D85130E230,ED-00DE467D3A,RC AeroChopper,AMIGA,UNK,xx,
RL-075A63614D,ED-86CDBA821B,Realm,SNES,UNK,xx,
