igdb_id,company_name,developer,publisher,porting,supporting
81899,Midway,True,False,False,False
223018,Yoko Soft,True,True,False,False
28509,Argonaut Software Ltd.,False,False,False,True
28509,Nintendo EAD Tokyo Software Development Group No.1,True,True,False,False
28509,Playtronic,False,True,False,False
19773,Trimark Interactive,False,True,False,False
19773,Acclaim Entertainment,False,True,False,False
19773,LJN,False,True,False,False
19773,Acclaim Japan,False,True,False,False
19773,Realtime Associates,True,False,False,False
19773,Playtronic,False,True,False,False
19773,Tec Toy,False,True,False,False
198845,Tiger Electronics,True,True,False,False
42474,TecMagik Entertainment,False,True,False,False
42474,Manley and Associates Inc,True,False,False,False
42474,Altron Corporation,False,True,False,False
7351,BattleCry Studios,False,False,False,True
7351,Certain Affinity,False,False,False,True
7351,ZeniMax Germany,False,False,False,True
7351,MachineGames,False,False,False,True
7351,id Software,True,False,False,False
7351,Bethesda Softworks,False,True,False,False
7351,Tango Gameworks,False,False,False,True
7351,Escalation Studios,False,False,False,True
12675,Empire Software,False,True,False,False
276932,FlashPV,True,True,False,False
365654,Teeny Weeny Games,True,False,False,False
365654,Flying Edge,False,True,False,False
365654,Acclaim,False,True,False,False
14901,Walking Circles,False,False,True,False
14901,Grandslam Video Ltd.,False,True,False,False
14901,Audio Visual Magic,True,False,False,False
14901,Images Software,True,False,False,False
15844,Square,False,True,False,False
15844,Square Enix,False,True,False,False
15844,Sting,True,False,False,False
49447,Koei,False,True,False,False
49447,Ruby Party,True,False,False,False
45437,Koei,False,True,False,False
45437,Ruby Party,True,False,False,False
42455,Nintendo of America,False,True,False,False
42455,KAZe,True,False,False,False
42455,Meldac,False,True,False,False
42455,Playtronic,False,True,False,False
1709,Nintendo,False,True,False,False
1709,Game Freak,True,False,False,False
38210,Tose,True,False,False,False
38210,Angle,False,True,False,False
42546,St. GIGA,False,True,False,False
42546,Hudson Soft,False,True,False,False
42546,Raizing,True,False,False,False
36731,Bandai,False,True,False,False
36731,Tom Create,True,False,False,False
131387,Bandai,False,True,False,False
42484,St. GIGA,False,True,False,False
42484,Enix,False,True,False,False
42484,Produce!,True,False,False,False
38184,Tecmo,True,True,False,False
71128,SNK,True,False,False,False
71128,D4 Enterprise,False,True,False,False
71128,Sega,False,True,False,False
71128,Gaibrain,True,False,False,False
71128,Tec Toy,False,True,False,False
71128,SNK,True,True,False,False
71128,Takara,True,False,False,False
71128,Magical Company,False,True,False,False
37811,St. GIGA,False,True,False,False
37811,Koei,False,True,False,False
40451,Namco,False,True,False,False
40451,Arc System Works,True,False,False,False
36734,Victor Interactive Software,False,True,False,False
36734,Opera House,True,False,False,False
37972,Atelier Double,True,False,False,False
37972,Pony Canyon,False,True,False,False
38332,Taito,False,True,False,False
38332,Neverland,True,False,False,False
42425,Namco,True,True,False,False
42270,C-Lab,True,False,False,False
42270,Sammy Studios,False,True,False,False
122266,Square Enix,False,True,False,False
63509,St. GIGA,False,True,False,False
63509,ASCII Corporation,False,True,False,False
63509,Kuusou Kagaku,True,False,False,False
46534,Absolute Entertainment,True,True,False,False
38371,Bullet-Proof Software,True,True,False,False
42242,Natsume Inc.,True,False,False,False
42242,Zamuse,False,True,False,False
37836,Namcot,True,True,False,False
8564,Data East,True,True,False,False
8564,Hyundai,False,True,False,False
58791,Data East,True,True,False,False
1499,Omiya Soft,True,False,False,False
1499,Square,False,True,False,False
1499,Square Enix,False,True,False,False
1499,Solid,True,False,False,False
13091,Activision,False,True,False,False
13091,Dynamix,True,False,False,False
13091,Cross Media Soft,False,True,False,False
37843,Data East,True,True,False,False
78959,"Sega Enterprises, Ltd.",True,True,False,False
38154,Almanic Corporation,True,False,False,False
38154,Banpresto,False,True,False,False
39578,K Amusement Leasing,False,True,False,False
39578,Wave Corp,True,False,False,False
39578,Taito,False,True,False,False
77634,Masaya,True,False,False,False
77634,"Extreme Co.,Ltd",False,True,False,False
77634,Hudson Soft,False,True,False,False
77634,Konami,False,True,False,False
77634,NCS Corporation,False,True,False,False
4001,Capcom,False,True,False,False
4001,Capcom Production Studio 1,True,False,False,False
38321,Banpresto,True,True,False,False
306049,Masaya,True,False,False,False
306049,Shinyuden,False,False,True,False
306049,Ratalaika Games,True,True,False,False
5579,SPS,False,True,False,False
5579,"Sega Enterprises, Ltd.",False,True,False,False
5579,Hudson Soft,False,True,False,False
5579,Nintendo,False,True,False,False
5579,St. GIGA,False,True,False,False
5579,Nihon Falcom,True,True,False,False
5579,Epoch,False,True,False,False
99492,HAMSTER,False,True,False,False
99492,SNK,True,False,False,False
129852,NickB,True,True,False,False
38114,Nintendo,False,True,False,False
38114,St. GIGA,False,True,False,False
38114,Culture Brain,True,True,False,False
38114,Bottom Up,False,True,False,False
46596,Tecmo,True,True,False,False
46596,Tec Toy,False,True,False,False
42406,Compile,True,False,False,False
42406,Banpresto,False,True,False,False
42470,St. GIGA,False,True,False,False
42470,Compile,True,True,False,False
42555,Max Entertainment,True,False,False,False
42555,Yanoman,False,True,False,False
15935,J-Force,True,False,False,False
15935,Enix,False,True,False,False
42531,Tose,True,False,False,False
42531,Bullet-Proof Software,False,True,False,False
15893,Tecmo,True,True,False,False
15843,Square,True,True,False,False
15843,Square Enix,True,True,False,False
15843,Square Product Development Division 6,True,False,False,False
42649,Quintet,True,False,False,False
42649,Enix,False,True,False,False
42649,Ancient,True,False,False,False
42462,BEC,True,False,False,False
42462,Banpresto,False,True,False,False
4393,Sega,False,True,False,False
4393,Epoch,False,True,False,False
4393,Hudson Soft,False,True,False,False
4393,Nihon Falcom,True,False,False,False
4393,Nihon Falcom,False,True,False,False
4450,Activision,True,False,False,False
4450,Sega of America,False,True,False,False
4450,Activision,False,True,False,False
