edition_id,title_primary,platform,gb_game_id,igdb_game_id,wd_qid,wd_label
CAT-60556,Super Birdie Rush;スーパーバーディラッシュ,Nintendo Super Famicom,40040,37843,,
CAT-34388,Plok!;プロック,Nintendo Super Famicom,4182,28389,,
CAT-23880,Super Famicom Wars;スーパーファミコンウォーズ,Nintendo Super Famicom,9288,38320,,
CAT-21803,Joushou Mahjong Tenpai;常勝麻雀 天牌,Nintendo Super Famicom,28208,42423,,
CAT-21818,Gekisou Sentai Carranger Zenkai! Racer Senshi;激走戦隊カーレンジャー 全開!レーサー戦士,Nintendo Super Famicom,42210,3285,,
CAT-26592,Urban Strike The Sequel to Jungle Strike,Nintendo Super Nintendo Entertainment System,9336,4492,,
CAT-60493,Theme Park;テーマパーク,Nintendo Super Famicom,6562,23091,,
CAT-09305,Super Puyo Puyo;す〜ぱ〜ぷよぷよ,Nintendo Super Famicom,,42406,,
CAT-21667,Rise Of The Robots;ライズ オブ ザ ロボッツ,Nintendo Super Famicom,9847,4259,,
CAT-01803,Lucky Luke,Nintendo Super Nintendo Entertainment System,52893,265060,,
CAT-19744,Actraiser,Nintendo Super Nintendo Entertainment System,7274,23597,,
CAT-34716,WWF WrestleMania The Arcade Game;レッスルマニア・ジ・アーケードゲーム,Nintendo Super Famicom,8027,4546,,
CAT-26603,Disney's The Lion King,Nintendo Super Nintendo Entertainment System,9186,198801,,
CAT-34625,Pac-In-Time;パックインタイム,Nintendo Super Famicom,11100,18380,,
CAT-35553,Disney's Beauty and The Beast;美女と野獣,Nintendo Super Famicom,30534,280811,,
CAT-19887,Lucky Luke,Nintendo Super Nintendo Entertainment System,52893,265060,,
CAT-26967,Star Trek Starfleet Academy Starship Bridge Simulator,Nintendo Super Nintendo Entertainment System,19745,45878,,
CAT-42775,Disney's Beauty and the Beast,Nintendo Super Nintendo Entertainment System,30534,280811,,
CAT-20585,Super Dunk Star;スーパーダンクスター,Nintendo Super Famicom,38745,42270,,
CAT-59715,Populous;ポピュラス,Nintendo Super Famicom,6210,353713,,
CAT-20329,Rise of the Robots,Nintendo Super Nintendo Entertainment System,9847,4259,,
CAT-00094,Soul Blazer,Nintendo Super Nintendo Entertainment System,13986,11616,,
CAT-09009,Natsuki Crisis Battle;なつきクライシスバトル,Nintendo Super Famicom,28375,38210,,
CAT-42657,Stunt Race FX,Nintendo Super Nintendo Entertainment System,19991,28509,,
CAT-20325,Young Merlin,Nintendo Super Nintendo Entertainment System,14108,11665,,
CAT-01798,Super Star Wars Return of the Jedi,Nintendo Super Nintendo Entertainment System,4692,48939,,
CAT-26683,Lemmings 2 The Tribes,Nintendo Super Nintendo Entertainment System,18818,243989,,
CAT-26983,Lagoon,Nintendo Super Nintendo Entertainment System,12945,42617,,
CAT-42919,Super Tennis,Nintendo Super Nintendo Entertainment System,18664,81523,,
CAT-26991,Young Merlin,Nintendo Super Nintendo Entertainment System,14108,11665,,
CAT-35405,Lagoon;ラグーン,Nintendo Super Famicom,12945,42617,,
CAT-35488,Spindizzy Worlds;スピンディジーワールド,Nintendo Super Famicom,4385,15374,,
CAT-69678,Super Mario World,Nintendo Super Nintendo Entertainment System,1334,270346,,
CAT-42926,Street Fighter Alpha 2,Nintendo Super Nintendo Entertainment System,19134,243453,,
CAT-09101,Super Mahjong Taikai;スーパー麻雀大会,Nintendo Super Famicom,38768,37811,,
CAT-19760,Killer Instinct,Nintendo Super Nintendo Entertainment System,18484,10354,,
CAT-26670,Revolution X,Nintendo Super Nintendo Entertainment System,12829,20298,,
CAT-20592,Zico Soccer;ジーコ サッカー,Nintendo Super Famicom,37604,42348,,
CAT-19779,Theme Park,Nintendo Super Nintendo Entertainment System,6562,23091,,
CAT-19864,Super Battletank 2,Nintendo Super Nintendo Entertainment System,32829,38425,,
CAT-34406,Street Fighter II,Nintendo Super Nintendo Entertainment System,6665,231006,,
CAT-61149,Izzy's Quest for the Olympic Rings,Nintendo Super Nintendo Entertainment System,13750,4455,,
CAT-59603,Fortune Quest Dice wo Korogase;フォーチュンクエスト ダイスをころがせ,Nintendo Super Famicom,46746,42242,,
CAT-55365,Super Puyo Puyo;す〜ぱ〜ぷよぷよ,Nintendo Super Famicom,,42406,,
CAT-08985,Angelique;アンジェリーク,Nintendo Super Famicom,23452,49447,,
CAT-42321,Pinball Fantasies,Nintendo Super Nintendo Entertainment System,12347,242310,,
CAT-34752,Disney's The Lion King;ライオンキング,Nintendo Super Famicom,19921,198801,,
CAT-19747,Urban Strike The Sequel to Jungle Strike,Nintendo Super Nintendo Entertainment System,9336,4492,,
CAT-19928,F1 Pole Position 2,Nintendo Super Nintendo Entertainment System,38982,42557,,
CAT-34745,Mario & Wario;マリオとワリオ,Nintendo Super Famicom,22862,1709,,
CAT-19888,Pilotwings,Nintendo Super Nintendo Entertainment System,14727,9619,,
CAT-19764,Williams Arcade's Greatest Hits,Nintendo Super Nintendo Entertainment System,2851,287084,,
CAT-79413,Terranigma,Nintendo Super Nintendo Entertainment System,13828,9633,,
CAT-40592,Aaahh!!! Real Monsters,Nintendo Super Nintendo Entertainment System,17044,5339,,
CAT-26506,Terranigma,Nintendo Super Nintendo Entertainment System,13828,9633,,
CAT-20317,NHLPA Hockey '93,Nintendo Super Nintendo Entertainment System,5450,42479,,
CAT-09227,Super Birdie Rush;スーパーバーディラッシュ,Nintendo Super Famicom,40040,37843,,
CAT-22861,Battle Pinball;バトルピンボール,Nintendo Super Famicom,37946,174187,,
CAT-38562,Angelique;アンジェリーク,Nintendo Super Famicom,23452,49447,,
CAT-42333,Jimmy Connors Pro Tennis Tour,Nintendo Super Nintendo Entertainment System,5740,153771,,
CAT-19743,Terranigma,Nintendo Super Nintendo Entertainment System,13828,9633,,
CAT-37946,Secret of Mana,Nintendo Super Nintendo Entertainment System,19507,55092,,
CAT-43013,Donkey Kong Country 2 Diddy's Kong Quest,Nintendo Super Nintendo Entertainment System,16889,1092,,
CAT-21685,Fortune Quest Dice wo Korogase;フォーチュンクエスト ダイスをころがせ,Nintendo Super Famicom,46746,42242,,
CAT-60599,Stunt Race FX,Nintendo Super Nintendo Entertainment System,19991,28509,,
CAT-19772,Super Tennis,Nintendo Super Nintendo Entertainment System,18664,81523,,
CAT-20357,Tiny Toon Adventures Buster Busts Loose!,Nintendo Super Nintendo Entertainment System,9441,8050,,
CAT-19917,Donkey Kong Country 2 Diddy's Kong Quest,Nintendo Super Nintendo Entertainment System,16889,1092,,
CAT-09257,Albert Odyssey;アルバートオデッセイ,Nintendo Super Famicom,33881,15889,,
CAT-20321,NHL 95,Nintendo Super Nintendo Entertainment System,15126,4509,,
CAT-01835,Plok,Nintendo Super Nintendo Entertainment System,4182,28389,,
CAT-42332,WWF Super Wrestlemania,Nintendo Super Nintendo Entertainment System,3826,45566,,
CAT-19787,Stunt Race FX,Nintendo Super Nintendo Entertainment System,19991,28509,,
CAT-42714,Claymates,Nintendo Super Nintendo Entertainment System,1607,42623,,
CAT-37931,Super Mario World 2 Yoshi's island,Nintendo Super Nintendo Entertainment System,2866,1073,,
CAT-35431,Jurassic Park;ジュラシック・パーク,Nintendo Super Famicom,5721,217956,,
CAT-36843,ActRaiser;アクトレイザー,Nintendo Super Famicom,7274,23597,,
CAT-19925,Disney's Aladdin,Nintendo Super Nintendo Entertainment System,19944,198669,,
CAT-35514,Batman Forever;バットマン フォーエヴァー,Nintendo Super Famicom,10020,198998,,
CAT-19812,Super Punch-Out!!,Nintendo Super Nintendo Entertainment System,6029,9151,,
CAT-26587,Young Merlin,Nintendo Super Nintendo Entertainment System,14108,11665,,
CAT-59637,Super Bomberman;スーパーボンバーマン,Nintendo Super Famicom,11992,198028,,
CAT-01802,Total Carnage,Nintendo Super Nintendo Entertainment System,11061,196441,,
CAT-60534,Populous;ポピュラス,Nintendo Super Famicom,6210,353713,,
CAT-35628,Feda The Emblem Of Justice;フェーダ エンブレム・オブ・ジャスティス,Nintendo Super Famicom,35998,42555,,
CAT-43017,Super Mario World 2 Yoshi's Island,Nintendo Super Nintendo Entertainment System,2866,1073,,
CAT-26558,NHL 95,Nintendo Super Nintendo Entertainment System,15126,4509,,
CAT-24250,GP-1,Nintendo Super Famicom,36333,18613,,
CAT-26604,Mortal Kombat 3,Nintendo Super Nintendo Entertainment System,1434,284101,,
CAT-00085,Terranigma,Nintendo Super Nintendo Entertainment System,13828,9633,,
CAT-40407,Tiny Toon Adventures Buster Busts Loose!,Nintendo Super Nintendo Entertainment System,9441,8050,,
CAT-20334,The Adventures of Mighty Max,Nintendo Super Nintendo Entertainment System,3680,8121,,
CAT-42349,Micro Machines 2 Turbo Tournament,Nintendo Super Nintendo Entertainment System,20350,228792,,
CAT-35420,Dragon's Earth;ドラゴンズ・アース,Nintendo Super Famicom,46015,42254,,
CAT-23191,Super Trump Collection;スーパートランプコレクション,Nintendo Super Famicom,53407,42221,,
CAT-55869,Populous;ポピュラス,Nintendo Super Famicom,6210,353713,,
CAT-20281,SimCity ;シムシティ,Nintendo Super Famicom,37620,208990,,
CAT-26545,Parodius,Nintendo Super Nintendo Entertainment System,810,174910,,
CAT-19922,Disney's Beauty and the Beast,Nintendo Super Nintendo Entertainment System,30534,280811,,
CAT-42653,Tetris Attack,Nintendo Super Nintendo Entertainment System,13130,133313,,
CAT-22935,Dekitate High School;できたてハイスクール,Nintendo Super Famicom,46822,44418,,
CAT-60682,Vortex,Nintendo Super Nintendo Entertainment System,9146,210342,,
CAT-01830,SimCity,Nintendo Super Nintendo Entertainment System,15035,208990,,
CAT-19869,Tetris & Dr Mario,Nintendo Super Nintendo Entertainment System,6805,14531,,
CAT-69626,Super Metroid,Nintendo Super Nintendo Entertainment System,8292,1103,,
CAT-26981,Killer Instinct,Nintendo Super Nintendo Entertainment System,18484,10354,,
CAT-01821,Cutthroat Island,Nintendo Super Nintendo Entertainment System,15775,7828,,
CAT-69636,Super Metroid,Nintendo Super Nintendo Entertainment System,8292,1103,,
