edition_id,title_primary,platform,igdb_game_id,gb_game_id,genres,developers_for_platform,publishers_for_platform,release_date_for_platform,region_for_platform,platforms_all,release_dates_all,cover_url,primary_source
CAT-19749,SimCity,Nintendo Super Nintendo Entertainment System,208990,15035,,Intelligent Systems; Maxis Software; Nintendo EAD,"Brøderbund Software, Inc.; Electronic Arts; Maxis Software; Nintendo; Superior Software",,,,,,igdb
CAT-60676,Shanghai II Dragon's Eye,Nintendo Super Nintendo Entertainment System,4450,7286,,,,,,,,,igdb
CAT-01831,Pac-Man 2 The New Adventures,Nintendo Super Nintendo Entertainment System,11603,12294,Puzzle; Adventure,Namco,Namco,1994-04-06,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; Wii U; Super Famicom,"1994 <Super Nintendo Entertainment System> | Apr 06, 1994 <Sega Mega Drive/Genesis> | Apr 06, 1994 <Super Nintendo Entertainment System> | Aug 26, 1994 <Super Famicom> | Oct 08, 2015 <Wii U> | Mar 03, 2016 <Wii U>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2sss.jpg,igdb
CAT-34617,Super Keirin;スーパー競輪,Nintendo Super Famicom,37820,37176,,,,,,,,,igdb
CAT-09819,Aretha;アレサ,Nintendo Super Famicom,222820,1791,,Japan Art Media,Yanoman Corporation,,,,,,igdb
CAT-60680,NBA Live 97,Nintendo Super Nintendo Entertainment System,20134,1356,,,,,,,,,igdb
CAT-23254,Aretha;アレサ,Nintendo Super Famicom,222820,1791,,Japan Art Media,Yanoman Corporation,,,,,,igdb
CAT-20309,NBA Live 97,Nintendo Super Nintendo Entertainment System,20134,1356,,"Electronic Arts; NuFX, Inc.",EA Sports; Electronic Arts,,,,,,igdb
CAT-09232,Der Langrisser;デア ラングリッサー,Nintendo Super Famicom,77634,8375,,Masaya,"Interchannel, Ltd.; Masaya",,,,,,igdb
CAT-42316,Disney's Beauty and the Beast,Nintendo Super Nintendo Entertainment System,280811,30534,,,,,,,,,igdb
CAT-23830,Touge Densetsu Saisoku Battle;峠・伝説 最速バトル,Nintendo Super Famicom,38125,57853,,,,,,,,,igdb
CAT-21791,Battle Submarine;バトルサブマリン,Nintendo Super Famicom,38185,55213,,Office Koukan,"Pack-In-Video Co., Ltd",,,,,,igdb
CAT-01859,Micro Machines 2 Turbo Tournament,Nintendo Super Nintendo Entertainment System,228792,20350,Racing,Codemasters; Supersonic Software,Codemasters,1994-11-01,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; DOS,"Nov 1994 <Sega Mega Drive/Genesis> | 1995 <Super Nintendo Entertainment System> | May 31, 1996 <DOS>",https://images.igdb.com/igdb/image/upload/t_cover_big/co4moc.jpg,igdb
CAT-01806,Wolverine Adamantium Rage,Nintendo Super Nintendo Entertainment System,207235,12002,Fighting; Platform; Hack and slash/Beat 'em up,Bits Studios,LJN,1994-11-01,,Super Nintendo Entertainment System,"1994 <Super Nintendo Entertainment System> | Nov 1994 <Super Nintendo Entertainment System> | Jan 27, 1995 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/co4p1h.jpg,igdb
CAT-20191,Light Fantasy;ライトファンタジー,Nintendo Super Famicom,37944,28306,,Advance Communication Company,Tonkin House,,,,,,igdb
CAT-23143,Natsuki Crisis Battle;なつきクライシスバトル,Nintendo Super Famicom,38210,28375,,"TOSE Co., Ltd.",Angel,,,,,,igdb
CAT-34396,Jimmy Connors Pro Tennis Tour;ジミーコナーズのプロテニスツアー,Nintendo Super Famicom,153771,5740,,,,,,,,,igdb
CAT-60683,Parodius,Nintendo Super Nintendo Entertainment System,174910,810,,,,,,,,,igdb
CAT-26574,World Cup USA 94,Nintendo Super Nintendo Entertainment System,217942,5498,,,,,,,,,igdb
CAT-09183,Super Dunk Star;スーパーダンクスター,Nintendo Super Famicom,42270,38745,,C-Lab,Sammy Corporation,,,,,,igdb
CAT-35524,Ardy Lightfoot;アルディライトフット,Nintendo Super Famicom,42736,16604,,,,,,,,,igdb
CAT-41642,Super Star Wars Return of the Jedi,Nintendo Super Nintendo Entertainment System,48939,4692,,,,,,,,,igdb
CAT-42312,Killer Instinct,Nintendo Super Nintendo Entertainment System,10354,18484,,,,,,,,,igdb
CAT-09222,Fighter's History;ファイターズヒストリー,Nintendo Super Famicom,8564,10486,,Data East Corporation,Data East Corporation; Flying Tiger Entertainment,,,,,,igdb
CAT-19799,Super Star Wars Return of the Jedi,Nintendo Super Nintendo Entertainment System,48939,4692,,"Acclaim Studios Salt Lake City; LucasArts Entertainment Company LLC; Realtime Associates, Inc.","Black Pearl Software; JVC Musical Industries, Inc.; LucasArts Entertainment Company LLC; THQ; Victor Entertainment",,,,,,igdb
CAT-69611,Super Mario World,Nintendo Super Nintendo Entertainment System,270346,1334,,,,,,,,,igdb
CAT-42327,True Lies,Nintendo Super Nintendo Entertainment System,282484,1815,,,,,,,,,igdb
CAT-26737,Fatal Fury,Nintendo Super Nintendo Entertainment System,71128,2396,,,,,,,,,igdb
CAT-20436,Tintin in Tibet,Nintendo Super Nintendo Entertainment System,249148,4197,,Atari SA,Atari SA,,,,,,igdb
CAT-23188,Emerald Dragon;エメラルドドラゴン,Nintendo Super Famicom,15834,640,,Alfa System; Glodia; Right Stuff,"Glodia; Media Works Inc.; NEC Home Electronics, Ltd.",,,,,,igdb
