object_number,title,title.type,object_name,object_name.type,object_category
42936,Ultimate Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42940,Lemmings 2 The Tribes,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42941,NHL Hockey '94,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42943,Mortal Kombat,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42946,The Legend of Zelda A Link to the Past,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42951,Stunt Race FX,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42952,Starwing,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42954,Choplifter III,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42966,Lemmings,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42968,Smash Tennis,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42983,Pitfall The Mayan Adventure,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42991,Blazing Skies,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42996,Sullivan Bluth Presents Dragon's Lair,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
42999,Super Putty,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
43001,Mortal Kombat 3,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
43004,Earthworm Jim,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
43005,Street Fighter II,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
43008,Donkey Kong Country,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
43013,Donkey Kong Country 2 Diddy's Kong Quest,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
43014,Donkey Kong Country 3 Dixie Kong's Double Trouble!,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
43017,Super Mario World 2 Yoshi's Island,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
43396,"Super Nintendo Controller, SNES",Peripheral Description,Nintendo Super Nintendo Entertainment System,"",Peripheral
45586,Dorke & Ymp,Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game
45809,"Nintendo Videospel Instruktionsböcker, Instruction book folder",Peripheral Description,Nintendo Entertainment System;Nintendo Game Boy;Nintendo Super Nintendo Entertainment System,;;,Peripheral
51333,"Nintendo 64 / Super NES Stereo A/V Cable with Euro Connector Plug, Composite Video RCA",Peripheral Description,Nintendo 64;Nintendo Super Nintendo Entertainment System,;,Peripheral
53222,"Fire The Rebel Mouse for SNES / SFC F-010, Super NES Mouse",Peripheral Description,Nintendo Super Nintendo Entertainment System,"",Peripheral
53223,Datel Pro Action Replay 2 for the Super NES,Peripheral Description,Nintendo Super Nintendo Entertainment System,Cartridge,Peripheral
53313,"Super NES Stereo A/V Cable with Euro Connector Plug, Composite Video RCA",Peripheral Description,Nintendo Super Nintendo Entertainment System,"",Peripheral
53318,"Hudson Soft Super Multitap HC699, 4 player adapter",Peripheral Description,Nintendo Super Nintendo Entertainment System,"",Peripheral
53708,EarthBound Bonus Inside Free Players Guide;EarthBound,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game Bundle
53728,Secret of Evermore Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.;Secret of Evermore,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game Bundle
53734,Illusion of Time Deutscher Bildschirmtext + 76 Seiten-Spieleberater inkl.;Illusion of Time,Game Bundle Description;Game Title,Nintendo Super Nintendo Entertainment System,Cartridge,Game Bundle
