object_number,title,title.type,object_name,object_name.type,object_category,broadcast_standard,title.language,place_of_publication
35570,"Ys V Expert;イースVエキスパート;イースV 失われた砂の都ケフィン;Ys 5 Lost Kefin, Kingdom of Sand",Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
35571,The Firemen;ザ・ファイヤーメン,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35572,Kiki Kaikai Nazo no Kuro Manto;奇々怪界 謎の黒マント;Pocky & Rocky,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35573,Rockman's Soccer;ロックマンズサッカー;Mega Man's Soccer,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35575,Hamelin no Violin Hiki;ハーメルンのバイオリン弾き,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35576,Holy Umbrella Dondera no Mubo!!;ホーリーアンブレラ ドンデラの無謀！！,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35577,Super R-Type;スーパー・アールタイプ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35578,Parodius da! Shinwa Kara Owarai he;パロディウスだ！ −神話からお笑いへ−;Parodius,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35579,Jikkyou Oshaberi Parodius Forever With Me;実況おしゃべりパロディウス Forever With Me,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35580,Gokujou Parodius Kako no Eikou o Motomete;極上パロディウス 過去の栄光を求めて,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35581,Battle Blaze;バトルブレイズ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35582,Super Cup Soccer;スーパーカップサッカー;Super Goal!,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35583,Super Famista;スーパーファミスタ;Super Batter Up,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35584,Barbarossa;バルバロッサ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35585,Justice League Task Force;ジャスティスリーグ Task Force,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
