edition_id,gb_game_id,person_name,roles,source
CAT-69611,1334,Yasuhiro Sakai,,giantbomb
CAT-69611,1334,Yoichi Kotabe,,giantbomb
CAT-69611,1334,Koji Kondo,,giantbomb
CAT-69611,1334,Shigefumi Hino,,giantbomb
CAT-69611,1334,Shigehiro Kasamatsu,,giantbomb
CAT-69611,1334,Tatsunori Takakura,,giantbomb
CAT-69611,1334,Kazuaki Morita,,giantbomb
CAT-69611,1334,Toshio Iwawaki,,giantbomb
CAT-69611,1334,Katsuya Eguchi,,giantbomb
CAT-69611,1334,Hideki Konno,,giantbomb
CAT-69611,1334,Hiroshi Yamauchi,,giantbomb
CAT-69611,1334,Shigeru Miyamoto,,giantbomb
CAT-69611,1334,Takashi Tezuka,,giantbomb
CAT-42327,1815,Andrew Scott,,giantbomb
CAT-42327,1815,Shane Lontis,,giantbomb
CAT-42327,1815,John Tsiglev,,giantbomb
CAT-42327,1815,Justin Halliday,,giantbomb
CAT-42327,1815,Arnold Schwarzenegger,,giantbomb
CAT-42327,1815,Asif Chaudhri,,giantbomb
CAT-42327,1815,Shawn David Rosen,,giantbomb
CAT-42327,1815,Jason Beer,,giantbomb
CAT-42327,1815,Graeme Webb,,giantbomb
CAT-42327,1815,Seth W. Rosenfeld,,giantbomb
CAT-42327,1815,David Moore,,giantbomb
CAT-26737,2396,Toshikazu Tanaka,,giantbomb
CAT-26737,2396,Takashi Nishiyama,,giantbomb
CAT-26737,2396,Kojiro Mikusa,,giantbomb
CAT-26737,2396,Eikichi Kawasaki,,giantbomb
CAT-26737,2396,Andrew Glaister,,giantbomb
CAT-26737,2396,Jun Hashimoto,,giantbomb
CAT-26737,2396,Katsuhisa Namase,,giantbomb
CAT-20436,4197,Vincent Pelisson,,giantbomb
CAT-20436,4197,Alberto Jose Gonzalez,,giantbomb
CAT-20436,4197,Eric Angelier,,giantbomb
CAT-20436,4197,Lionel Laissus,,giantbomb
CAT-20436,4197,Alexandre Bacquart,,giantbomb
CAT-20436,4197,Frédéric Bibet,,giantbomb
CAT-20436,4197,Vincent Pourieux,,giantbomb
CAT-20436,4197,Yannick Turbe,,giantbomb
CAT-20436,4197,Delphine Personnaz,,giantbomb
CAT-20436,4197,Nathalie Jean-Bart,,giantbomb
CAT-20436,4197,Barry Hutchinson,,giantbomb
CAT-20436,4197,Jean-Marc Torroella,,giantbomb
CAT-20436,4197,Fabrice Bouillon,,giantbomb
CAT-20436,4197,Emmanuel Régis,,giantbomb
CAT-20436,4197,Xavier Schon,,giantbomb
CAT-20436,4197,Nadège de Bergevin-Hajji,,giantbomb
CAT-20436,4197,Edith Protiere,,giantbomb
CAT-20436,4197,Xavier Cucuel,,giantbomb
CAT-20436,4197,Bruno Bonnell,,giantbomb
CAT-20436,4197,Francois Bourgaux,,giantbomb
CAT-20436,4197,Frédéric Jay,,giantbomb
CAT-20436,4197,Anne Lena,,giantbomb
CAT-20436,4197,Stéphane Pradier,,giantbomb
CAT-23188,640,Koichi Yamadera,,giantbomb
CAT-23188,640,Shoji Masuda,,giantbomb
CAT-23188,640,Atsushi Ii,,giantbomb
CAT-23188,640,Tomoo Yamane,,giantbomb
CAT-23188,640,Osamu Sato,,giantbomb
CAT-23188,640,Akihiro Kimura,,giantbomb
CAT-42702,6106,Akira Yamaoka,,giantbomb
CAT-42702,6106,Koji Igarashi,,giantbomb
CAT-42379,12347,Fredrik Liliegren,,giantbomb
CAT-42379,12347,Olof Gustafsson,,giantbomb
CAT-42379,12347,Andreas Axelsson,,giantbomb
CAT-42379,12347,Stewart Gilray,,giantbomb
CAT-42363,3571,John Tobias,,giantbomb
CAT-42363,3571,Richard Divizio,,giantbomb
CAT-42363,3571,Ho Sung Pak,,giantbomb
CAT-42363,3571,Daniel Pesina,,giantbomb
CAT-42363,3571,Carlos Pesina,,giantbomb
CAT-42363,3571,John Parrish,,giantbomb
CAT-42363,3571,Tony Marquez,,giantbomb
CAT-42363,3571,Brian Glynn,,giantbomb
CAT-42363,3571,Katalin Zamiar,,giantbomb
CAT-42363,3571,Dr. Phillip Ahn,,giantbomb
CAT-42363,3571,Elizabeth Malecki,,giantbomb
CAT-42363,3571,Ed Boon,,giantbomb
CAT-42363,3571,Cary Mednick,,giantbomb
CAT-42363,3571,Ray Gay,,giantbomb
CAT-42363,3571,Steve Ritchie,,giantbomb
CAT-42363,3571,John Lowes,,giantbomb
CAT-42363,3571,John Vogel,,giantbomb
CAT-42363,3571,Tony Goskie,,giantbomb
CAT-42363,3571,Dan Forden,,giantbomb
CAT-42363,3571,Eddie Ferrier,,giantbomb
CAT-42363,3571,Kerry Marzo,,giantbomb
CAT-42363,3571,Jin Im,,giantbomb
CAT-42363,3571,Lee Schiff,,giantbomb
CAT-42363,3571,John McCaffer,,giantbomb
CAT-42363,3571,Paul Barker,,giantbomb
CAT-42363,3571,Steve Beran,,giantbomb
CAT-42363,3571,Jake Simpson,,giantbomb
CAT-42363,3571,Eric Kinkead,,giantbomb
CAT-42363,3571,Roger Sharpe,,giantbomb
CAT-42363,3571,Paul Dussault,,giantbomb
CAT-42363,3571,Jason Skiles,,giantbomb
CAT-42363,3571,Sal DiVita,,giantbomb
CAT-42363,3571,Mark Turmell,,giantbomb
CAT-42363,3571,Jeffrey A. Johnson,,giantbomb
CAT-42363,3571,Bill Dabelstein,,giantbomb
CAT-42363,3571,Warren Davis,,giantbomb
CAT-42363,3571,Shawn Liptak,,giantbomb
CAT-42363,3571,George Petro,,giantbomb
CAT-42363,3571,Mark Penacho,,giantbomb
CAT-42363,3571,Mark Runyon,,giantbomb
CAT-42363,3571,Vincent Pontarelli,,giantbomb
CAT-42363,3571,Jon Hey,,giantbomb
CAT-42363,3571,Edward Keenan,,giantbomb
CAT-42363,3571,Matt Booty,,giantbomb
CAT-42363,3571,Pat Cox,,giantbomb
CAT-42363,3571,Al Lasko,,giantbomb
CAT-42363,3571,Ray Macika,,giantbomb
CAT-42363,3571,Sheridan Oursler,,giantbomb
CAT-42363,3571,Neil Nicastro,,giantbomb
CAT-42363,3571,Ken Fedesna,,giantbomb
CAT-42363,3571,Nick Pelling,,giantbomb
CAT-42363,3571,George Allan,,giantbomb
CAT-42363,3571,David Leitch,,giantbomb
CAT-42363,3571,Mark Fisher,,giantbomb
CAT-42363,3571,Matt Furniss,,giantbomb
CAT-34688,168,Yukinobu Chida,,giantbomb
CAT-34688,168,Hitoshi Yoneda,,giantbomb
CAT-34688,168,Akihiko Mori,,giantbomb
CAT-34688,168,Yukihiro Takahashi,,giantbomb
CAT-34688,168,Michiya Hirasawa,,giantbomb
CAT-34688,168,Kazuhiro Yoshida,,giantbomb
CAT-26968,10276,Hiroshi Yamauchi,,giantbomb
CAT-26968,10276,Koji Kondo,,giantbomb
CAT-26968,10276,Satoru Iwata,,giantbomb
CAT-26968,10276,Yoshiaki Koizumi,,giantbomb
CAT-26968,10276,Nathan Bihldorff,,giantbomb
CAT-26968,10276,Yasuhiro Sakai,,giantbomb
CAT-26968,10276,Noritaka Funamizu,,giantbomb
CAT-26968,10276,Masahiro Nitta,,giantbomb
CAT-26968,10276,Jeff Miller,,giantbomb
CAT-26968,10276,Daniel Owsen,,giantbomb
CAT-26968,10276,Leslie Swan,,giantbomb
CAT-26968,10276,Kai Zeh,,giantbomb
CAT-26968,10276,Shigeru Miyamoto,,giantbomb
CAT-26968,10276,Kensuke Tanabe,,giantbomb
CAT-26968,10276,Yasuhisa Yamamura,,giantbomb
CAT-26968,10276,Yoichi Yamada,,giantbomb
CAT-26968,10276,Soichiro Tomita,,giantbomb
CAT-26968,10276,Takaya Imamura,,giantbomb
CAT-26968,10276,Masanao Arimoto,,giantbomb
CAT-26968,10276,Tsuyoshi Watanabe,,giantbomb
CAT-26968,10276,Toshihiko Nakago,,giantbomb
CAT-26968,10276,Yasunari Soejima,,giantbomb
CAT-26968,10276,Kazuaki Morita,,giantbomb
CAT-26968,10276,Tatsuo Nishiyama,,giantbomb
CAT-26968,10276,Yuichi Yamamoto,,giantbomb
CAT-26968,10276,Yoshihiro Nomoto,,giantbomb
CAT-26968,10276,Satoru Takahata,,giantbomb
CAT-26968,10276,Eiji Noto,,giantbomb
CAT-26968,10276,Toshio Iwawaki,,giantbomb
CAT-26968,10276,Shigehiro Kasamatsu,,giantbomb
CAT-26968,10276,Yasunari Nishida,,giantbomb
CAT-26968,10276,Keizo Kato,,giantbomb
CAT-26968,10276,Takao Shimizu,,giantbomb
CAT-26968,10276,Yoichi Kotabe,,giantbomb
CAT-26968,10276,Toshihiko Honda,,giantbomb
CAT-26968,10276,Tomoaki Kuroume,,giantbomb
CAT-26968,10276,Claude M. Moyse,,giantbomb
CAT-26968,10276,Takashi Tezuka,,giantbomb
CAT-26968,10276,Eiji Aonuma,,giantbomb
CAT-20364,1852,Richard Joseph,,giantbomb
CAT-20364,1852,Rob Stevens,,giantbomb
CAT-20412,19507,Nasir Gebelli,,giantbomb
CAT-20412,19507,Kurt Lentz,,giantbomb
CAT-20412,19507,Charlie Molls,,giantbomb
CAT-20412,19507,Marc Coluccio,,giantbomb
CAT-20412,19507,John M. Phillips,,giantbomb
CAT-20412,19507,Jeremy Devenport,,giantbomb
CAT-20412,19507,Jesse Anarda,,giantbomb
CAT-20412,19507,Brandon Stewart,,giantbomb
CAT-20412,19507,Carl Holzboog,,giantbomb
CAT-20412,19507,Chad Bye,,giantbomb
CAT-20412,19507,Max Kunz,,giantbomb
CAT-20412,19507,Simon Kunz,,giantbomb
CAT-20412,19507,Roger Henty,,giantbomb
CAT-20412,19507,Joshua Gabbard,,giantbomb
CAT-20412,19507,Andrew Ruggles,,giantbomb
CAT-20412,19507,Charlie Wilson,,giantbomb
CAT-20412,19507,James Gillis,,giantbomb
CAT-20412,19507,Nathan Williams,,giantbomb
CAT-20412,19507,Kelly Beloit,,giantbomb
CAT-20412,19507,Kathryn Renstrom,,giantbomb
CAT-20412,19507,Kaeli Kreider,,giantbomb
CAT-20412,19507,Lynn Novak,,giantbomb
CAT-20412,19507,Chris Budd,,giantbomb
CAT-20412,19507,Weimin Li,,giantbomb
CAT-20412,19507,Ted Woolsey,,giantbomb
CAT-20412,19507,Kaoru Moriyama,,giantbomb
CAT-20412,19507,Tsukasa Fujita,,giantbomb
CAT-20412,19507,Keitarou Adachi,,giantbomb
CAT-20412,19507,Hiroo Isono,,giantbomb
CAT-20412,19507,Kenji Ito,,giantbomb
CAT-20412,19507,Yasunori Mitsuda,,giantbomb
CAT-20412,19507,Hiroki Kikuta,,giantbomb
CAT-20412,19507,Noriko Sasaki,,giantbomb
CAT-20412,19507,Shintaro Takai,,giantbomb
CAT-20412,19507,Shinichiro Okaniwa,,giantbomb
CAT-20412,19507,Hiroyuki Narushima,,giantbomb
CAT-20412,19507,Shinichi Kameoka,,giantbomb
CAT-20412,19507,Hidetoshi Kezuka,,giantbomb
