edition_id,gb_game_id,name,deck,developers,publishers,site_detail_url,image_super_url
CAT-09330,8998,Slayers,A turn-based RPG for the Super Famicom based on the fantasy-comedy anime/manga series of the same name.,"BEC Co., Ltd.","Banpresto Co., Ltd.",https://www.giantbomb.com/slayers/3030-8998/,https://www.giantbomb.com/a/uploads/scale_large/9/97089/2268230-untitled.png
CAT-09401,30673,Tetris Battle Gaiden,"A multiplayer focused ""puzzle battle"" variant on the popular Tetris, released only in Japan.","Bullet-Proof Software, Inc.","Bullet-Proof Software, Inc.",https://www.giantbomb.com/tetris-battle-gaiden/3030-30673/,https://www.giantbomb.com/a/uploads/scale_large/4/43718/1324621-580018_20343_front.jpg
CAT-09780,12945,Lagoon,"A top-down, action RPG developed by Zoom. In it, players guide the hero, Nasir, on his quest to restore the purity of Lakeland's water.","Zoom, Inc.",Kemco,https://www.giantbomb.com/lagoon/3030-12945/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363921-snes_lagoon.jpg
CAT-09819,1791,Aretha,A Japanese role-playing game originally released for the Super Famicom in 1993. It follows a trilogy of Aretha RPGs for the Game Boy with a new main character and story.,Japan Art Media,Yanoman Corporation,https://www.giantbomb.com/aretha/3030-1791/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2087560-aretha_snes_cover.jpg
CAT-10207,5740,Jimmy Connors Pro Tennis Tour,"A tennis game that is endorsed by American tennis champion Jimmy Connors. It is also known as ""Great Courts 2"" and ""Pro Tennis Tour 2"", prior to acquiring the Connors endorsement.",Ubisoft Blue Byte,"Misawa Entertainment Co.,Ltd.; The Hit Squad; Ubisoft Entertainment",https://www.giantbomb.com/jimmy-connors-pro-tennis-tour/3030-5740/,https://www.giantbomb.com/a/uploads/scale_large/0/8272/1127978-588403_5344_front.jpg
CAT-19502,38076,Battle Racers,Compati Hero Series racing game released in 1995 for the Super Famicom. Published by Banpresto.,Minato Giken,"Banpresto Co., Ltd.",https://www.giantbomb.com/battle-racers/3030-38076/,https://www.giantbomb.com/a/uploads/scale_large/14/149200/2185432-battle_racers_01.jpg
CAT-19557,10865,Syndicate,"An action strategy game set in a dystopian future where megacorporations control the world and wage war on each other with cybernetically-enhanced ""Agents"".","Bullfrog Productions, Ltd.",Electronic Arts; Ocean Software Ltd.,https://www.giantbomb.com/syndicate/3030-10865/,https://www.giantbomb.com/a/uploads/scale_large/0/3715/758745-syndpc0f.jpg
CAT-19741,10276,The Legend of Zelda: A Link to the Past,The third installment in the Zelda series makes a return to the top-down 2D gameplay of the original. Link must travel between the Light and Dark Worlds in order to set things right in the kingdom of Hyrule.,Nintendo EAD; SRD Co. Ltd.,Nintendo,https://www.giantbomb.com/the-legend-of-zelda-a-link-to-the-past/3030-10276/,https://www.giantbomb.com/a/uploads/scale_large/8/82063/2831954-legend_of_zelda_3_-_snes_-_album_art.jpg
CAT-19743,13828,Terranigma,An Action-RPG from Quintet and Enix about the resurrection of the world. Ark has to fix the mess he made and travels around the globe to take part in the most important events in the history of the planet.,"Quintet Co., Ltd.",Enix Corporation; Nintendo,https://www.giantbomb.com/terranigma/3030-13828/,https://www.giantbomb.com/a/uploads/scale_large/8/82063/2190016-terranigma_wlp1_1920x1200.jpg
CAT-19744,7274,ActRaiser,ActRaiser is a hybrid of two genres: city-building and action platformer. The player takes control of the powerful entity known as the Master in his quest to rebuild civilization.,"Quintet Co., Ltd.",Enix Corporation; Square Enix,https://www.giantbomb.com/actraiser/3030-7274/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363111-snes_actraiser.jpg
CAT-19747,9336,Urban Strike,"A millionaire, former presidential candidate, and fanatic cult leader named H. R. Malone plans on toppling the government using a super weapon he is constructing.",Edge Games; Electronic Arts; Foley Hi-Tech Systems; Roklan Corporation; Solid Software,Black Pearl Software; THQ,https://www.giantbomb.com/urban-strike/3030-9336/,https://www.giantbomb.com/a/uploads/scale_large/15/155745/2167540-24268_264672.jpg
CAT-19749,15035,SimCity,The first installment in the highly acclaimed SimCity franchise by Maxis' Will Wright. The gameplay centers around developing and managing a city in a variety of scenarios using a combination of different zones and buildings.,Intelligent Systems; Maxis Software; Nintendo EAD,"Brøderbund Software, Inc.; Electronic Arts; Maxis Software; Nintendo; Superior Software",https://www.giantbomb.com/simcity/3030-15035/,https://www.giantbomb.com/a/uploads/scale_large/0/7622/643387-simcity.jpg
CAT-19757,54900,Archer MacLean's Super Dropzone,"The sequel to the 1984 game Dropzone. As well as a graphical overhaul, the game now also features bosses and power-ups.",Eurocom Entertainment Software,SCEE Studio Liverpool; UTV Ignition Entertainment,https://www.giantbomb.com/archer-macleans-super-dropzone/3030-54900/,https://www.giantbomb.com/a/uploads/scale_large/2/23093/2874844-8518156616-64034.jpg
CAT-19759,12959,Addams Family Values,A top-down action-adventure game based loosely on the events of the movie of the same name.,Ocean Software Ltd.,Ocean Software Ltd.,https://www.giantbomb.com/addams-family-values/3030-12959/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363116-snes_addamsfamilyvalues_2.jpg
CAT-19760,18484,Killer Instinct,"Rare's signature fighting game, featuring heavy use of pre-rendered 3D graphics, a unique match format, a special multi-sequence combo system, and C-C-C-COMBO BREAKER","Code Mystics; Rare, Ltd.",Midway Games; Nintendo; Xbox Game Studios,https://www.giantbomb.com/killer-instinct/3030-18484/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/2575462-box_ki.png
CAT-19761,10020,Batman Forever,Foil the plans of Two-Face and The Riddler as either Batman or Robin in this brawler based on the 1995 film of the same name.,Probe Entertainment,"Acclaim Entertainment, Inc.",https://www.giantbomb.com/batman-forever/3030-10020/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2369052-genesis_batmanforever_eu_cropped.jpg
CAT-19764,2851,Arcade's Greatest Hits: The Atari Collection 1,"A collection of six Atari Arcade games, rereleased for consoles.","Digital Eclipse Software, Inc.","Midway Games; Williams Electronic Games, Inc.",https://www.giantbomb.com/arcades-greatest-hits-the-atari-collection-1/3030-2851/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/2983185-box_maghatari1.png
