edition_id,gb_game_id,name,deck,developers,publishers,site_detail_url,image_super_url,source
CAT-09780,12945,Lagoon,"A top-down, action RPG developed by Zoom. In it, players guide the hero, Nasir, on his quest to restore the purity of Lakeland's water.","Zoom, Inc.",Kemco,https://www.giantbomb.com/lagoon/3030-12945/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363921-snes_lagoon.jpg,giantbomb
CAT-21704,14860,Casper,A licensed game based on the 1995 movie featuring Christina Ricci and Bill Pullman. Casper and his human friend Kat work together to foil the plans of an evil rich heiress and her assistant.,Absolute Entertainment; Funcom Productions A/S; G3 Interactive Ltd.; Natsume,Interplay Entertainment Corp.; KSS,https://www.giantbomb.com/casper/3030-14860/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/2987942-box_casper.png,giantbomb
CAT-01875,4828,Magic Boy,"Magic Boy is a platformer in which the cherubic, yet slightly creepy title character travels and captures monsters.",Blue Turtle,"Empire Interactive Entertainment; JVC Digital Studios; JVC Musical Industries, Inc.",https://www.giantbomb.com/magic-boy/3030-4828/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363940-snes_magicboy.jpg,giantbomb
CAT-42665,1434,Mortal Kombat 3,"Set in a post-apocalyptic Earthrealm (invaded by Shao Kahn's army of Outworld), Mortal Kombat 3 is the third installment of one of the most violent fighting game franchises of all time.","Acclaim Studios Manchester; Acclaim Studios Salt Lake City; Midway Games; Williams Electronic Games, Inc.","Acclaim Entertainment, Inc.; GT Interactive Software Corp.; Midway Games; Softbank Corp.; Sony Interactive Entertainment America; Sony Interactive Entertainment Europe; Williams Electronic Games, Inc.",https://www.giantbomb.com/mortal-kombat-3/3030-1434/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/1338362-mk3_vert.png,giantbomb
CAT-37953,15629,Breath of Fire,"Breath of Fire is the first entry in the relatively successful Breath of Fire series, developed by Capcom. The gameplay is similar to other SNES RPG titles, such as Final Fantasy IV, with turn-based combat and a large medieval-like overworld to traverse.","Capcom; Status Co., Ltd.",Capcom; Squaresoft; Ubisoft Entertainment,https://www.giantbomb.com/breath-of-fire/3030-15629/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363668-snes_breathoffire.jpg,giantbomb
CAT-01829,29480,Kevin Keegan's Player Manager,"A Football Manager sim on the Super Nintendo, released in 1993. Kevin Keegan is a former England striker, and in more recent years the manager of league teams Fulham, Newcastle United and Manchester City.",Anco Software Ltd.,"Imagineer Co., Ltd.",https://www.giantbomb.com/kevin-keegans-player-manager/3030-29480/,https://www.giantbomb.com/a/uploads/scale_large/0/5486/1221484-kevin_keegan_s_player_manager_coverart.png,giantbomb
CAT-78070,13828,Terranigma,An Action-RPG from Quintet and Enix about the resurrection of the world. Ark has to fix the mess he made and travels around the globe to take part in the most important events in the history of the planet.,"Quintet Co., Ltd.",Enix Corporation; Nintendo,https://www.giantbomb.com/terranigma/3030-13828/,https://www.giantbomb.com/a/uploads/scale_large/8/82063/2190016-terranigma_wlp1_1920x1200.jpg,giantbomb
CAT-19983,14760,Solid Runner,"After his fiancee is murdered, Ion City detective Shuu takes on the city's underworld to get revenge in his customized mech.",Sting Entertainment,ASCII Corporation,https://www.giantbomb.com/solid-runner/3030-14760/,https://www.giantbomb.com/a/uploads/scale_large/9/97089/1855688-box.jpg,giantbomb
CAT-20386,6106,International Superstar Soccer,"The first in the franchise, ISS featured a realistic simulation style soccer game played on a skewed almost isometric grid.","Konami Computer Entertainment Osaka Co., Ltd.",Konami,https://www.giantbomb.com/international-superstar-soccer/3030-6106/,https://www.giantbomb.com/a/uploads/scale_large/9/93770/2363877-snes_internationalsuperstarsoccer_eu.jpg,giantbomb
CAT-01825,18484,Killer Instinct,"Rare's signature fighting game, featuring heavy use of pre-rendered 3D graphics, a unique match format, a special multi-sequence combo system, and C-C-C-COMBO BREAKER","Code Mystics; Rare, Ltd.",Midway Games; Nintendo; Xbox Game Studios,https://www.giantbomb.com/killer-instinct/3030-18484/,https://www.giantbomb.com/a/uploads/scale_large/8/87790/2575462-box_ki.png,giantbomb
